916 11278
339.713 3.80314 1
76.1599 4.95484 11
158.049 4.9461 2
296.904 7.44512 3
30.0864 13.8862 17
346.405 8.40618 5
83.843 8.97967 4
315.063 8.16084 5
298.209 9.37533 1
153.955 12.3396 3
162.046 13.7217 10
164.809 15.5807 28
331.782 12.5127 8
55.7638 14.1628 15
129.055 15.6691 43
353.389 11.8761 2
25.2591 15.5576 14
34.2281 13.6094 14
310.935 25.2312 128
25.9307 15.6425 3
353.473 16.148 2
160.716 16.8755 1
10.0678 17.1274 10
331.405 22.983 9
344.346 21.5657 27
351.16 20.6449 3
326.975 32.8809 74
232.866 26.3943 30
351.159 26.286 4
225.346 29.2548 11
240.744 31.3769 22
209.867 27.4899 26
29.2478 29.9452 1
307.628 36.0893 63
320.255 44.3075 52
256.97 35.0335 8
148.083 35.3661 18
307.47 36.3102 2
267.454 39.9331 20
322.6 38.4959 1
341.161 41.9036 44
268.212 40.1872 4
309.066 46.1289 4
320.292 42.8261 5
277.76 44.646 5
283.831 47.5616 17
219.728 56.7485 469
286.202 48.3158 3
194.705 53.4025 161
189.934 59.5786 126
201.799 49.1148 3
212.393 59.0362 8
172.663 60.6624 153
152.998 58.8227 225
300.83 55.167 31
190.745 53.8724 1
225.627 55.5965 10
185.501 53.3317 12
353.253 54.8933 1
120.593 59.4085 395
303.827 56 1
111.338 56.0516 1
97.9927 60.5077 55
115.155 57.4799 1
201.676 59.7946 52
337.805 59.4329 31
138.271 60.9086 67
159.624 57.6489 1
85.8714 66.783 215
89.9091 58.7785 3
147.686 59.3026 11
177.623 70.6157 37
163.01 66.4719 55
172.689 59.7899 6
107.479 64.0607 23
225.368 70.0765 35
201.856 74.0234 96
117.317 65.7516 12
76.5834 68.1786 9
119.433 63.1358 4
4.78298 67.1668 4
55.1375 66.3818 13
215.363 65.8796 6
221.368 66.7212 7
136.565 76.9251 135
331.065 67.9016 2
335.383 69.8274 9
54.8786 74.1479 43
99.5387 82.0621 140
136.018 79.6005 74
340 71.4708 10
82.8078 78.6356 45
170.169 76.4361 76
230.305 72.9378 3
131.477 73.7293 2
151.262 75.3944 68
115.604 81.4873 33
204.631 74.7705 22
190.199 77.1683 90
108.769 75.2965 33
188.916 75.662 3
180.475 78.1167 18
174.439 78.9245 12
95.6719 77.6783 2
161.738 83.2667 13
153.981 78.2278 2
86.2991 84.4477 58
86.8756 77.9234 12
97.5084 85.0019 12
93.5725 82.6161 2
84.3587 85.2312 5
352.838 93.1643 3
62.5029 94.9778 17
247.822 102.135 14
257.688 100.194 7
262.651 100.527 4
176.753 105.047 100
152.527 115.277 408
191.974 105.093 115
278.237 103.48 13
353.383 108.808 4
304.755 107.591 6
62.7695 111.244 103
158.089 120.618 132
322.665 110.347 4
130.746 128.436 255
336.602 115.029 10
340.71 111.629 13
142.908 121.65 84
151.507 120.774 32
132.017 120.885 3
172.319 125.071 246
177.295 122.034 23
166.426 121.762 5
168.988 119.849 1
145.019 131.012 32
139.61 126.175 8
158.907 129.056 14
182.085 132.299 18
120.872 125.576 12
147.69 127.667 2
353.424 127.776 2
154.243 128.196 6
129.097 144.728 131
133.638 135.664 7
10.9502 131.985 4
353.416 133.41 3
133.535 136.875 3
177.829 141.176 263
166.656 137.136 2
59.8679 137.314 24
187.696 144.22 66
16.5252 139.568 8
145.344 139.883 5
174.278 144.583 3
13.4196 143.889 11
126.247 146.881 44
130.369 145.655 1
124.932 147.564 3
350.69 152.387 5
57.6499 152.839 11
352.979 158.174 3
341.119 161.463 14
332.276 159.77 7
324.79 161.087 18
314.334 165.586 16
300.778 164.853 31
296.78 165.342 2
290.195 166.656 11
276.4 168.796 12
62.2968 180.955 106
48.9703 169.361 27
268.178 170.359 40
63.0454 183.508 23
189.715 175.737 225
206.658 180.702 30
187.94 190.162 112
63.3651 184.096 12
119.298 187.92 101
190.813 190.345 14
171.215 188.699 31
61.564 193.583 14
61.9317 205.35 38
328.529 215.452 10
61.626 216.565 64
274.488 236.507 46
63.2525 248.36 101
260.624 247.269 20
60.0159 247.616 2
249.029 249.381 41
60.368 254.117 6
73.0118 257.006 18
63.6246 274.569 15
64.3743 284.468 4
5.07434 2.60137 1
36.3618 2.21311 1
57.8786 5.12958 5
96.9188 2.22641 1
102.066 2.16249 1
106.534 2.15337 1
113.063 2.30606 2
153.74 2.53155 1
161.446 2.23961 2
333.033 2.21369 2
352.238 2.21981 3
49.5868 2.8699 1
53.8719 2.8419 1
80.6798 3.24438 3
137.735 5.72414 2
25.364 6.64742 2
289.649 6.35312 1
5.21713 9.62145 2
77.3909 11.5219 2
151.669 12.6277 4
11.409 13.2523 2
4.87323 13.6692 1
300.955 14.14 1
146.324 16.1702 7
348.044 17.1269 2
4.47218 18.1243 1
140.224 20.592 6
311.423 21.2184 2
4.78912 22.3688 2
335.054 23.6508 9
214.487 29.9949 2
40.6336 31.4327 5
159.303 32.2802 25
4.86013 32.2268 2
183.616 29.7099 5
332.685 34.6007 1
253.243 29.7134 15
134.78 34.1184 18
128 37.5739 17
330.538 38.031 1
4.88282 38.3826 1
119.708 39.7182 13
106.956 38.723 33
50.7008 42.5154 22
39.9348 42.2048 6
107.931 41.8309 2
35.2523 45.6729 38
18.2584 44.2706 7
328.295 42.6974 8
11.6644 44.315 2
83.9354 44.4031 8
71.1985 46.8873 52
340.78 46.0503 4
322.584 48.9723 6
329.664 48.2455 12
56.7458 48.5203 5
223.373 49.7927 2
220.553 53.4252 1
36.0847 56.3553 11
52.284 54.7548 10
150.563 55.3391 1
14.2903 57.004 5
178.16 57.3713 1
337.79 60.1786 3
31.7769 59.2926 2
60.2975 56.1717 10
138.143 59.6818 4
19.7248 59.6969 5
219.157 58.8159 5
342.409 60.2043 2
188.742 61.431 10
209.657 60.9657 1
109.489 61.4584 2
150.929 62.1873 2
86.0479 67.7516 9
323.847 67.5603 3
15.7518 68.8603 4
23.5991 68.8683 4
157.697 68.6805 9
210.109 69.3947 2
126.835 74.1528 4
205.832 70.608 3
194.212 71.4184 2
178.701 72.4252 12
4.77682 72.6245 1
160.068 74.4211 10
58.8242 75.3719 1
126.53 75.0667 1
102.243 78.1691 1
143.146 78.7927 8
115.654 85.2796 7
124.443 82.915 9
241.737 88.4029 43
344.309 94.3095 14
146.888 98.8686 35
80.262 97.524 4
69.3384 102.704 11
246.7 102.657 34
315.974 103.83 5
5.02714 103.957 1
126.244 104.764 138
164.92 102.53 7
137.375 103.238 13
60.7106 102.862 11
284.017 107.265 5
154.734 107.928 2
142.64 109.636 3
146.297 111.519 1
346.867 111.982 5
151.61 115.488 1
59.4886 117.231 5
