5195 47508
888.265 36.4112 1
220.973 64.7213 27
225.918 71.0817 14
852.101 75.3689 3
222.697 77.3264 4
223.028 80.8223 8
228.618 87.6285 45
218.197 90.8504 17
824.555 92.1917 1
220.522 97.5873 3
886.158 99.2257 1
615.239 101.606 14
269.52 103.676 13
626.171 104.244 10
172.19 112.322 31
636.104 109.814 27
766.763 106.938 33
871.487 109.485 2
221.856 110.931 22
270.222 110.483 5
809.879 107.834 24
826.833 112.369 9
240.264 115.871 35
826.927 112.22 3
834.36 112.503 10
730.85 112.983 1
737.472 113.156 3
859.984 113.38 11
191.153 116.491 10
697.816 114.4 1
707.67 113.709 5
574.095 110.793 24
176.858 116.894 4
199.443 117.115 29
230.554 121.359 9
596.725 119.479 43
704.116 124.488 1
273.977 132.579 90
188.809 128.234 31
608.108 125.628 20
640.705 126.346 5
199.613 129.195 18
654.591 127.884 4
157.232 128.426 29
687.518 129.283 7
265.61 129.493 33
293.388 130.725 26
302.879 132.113 14
186.962 135.29 16
276.144 139.133 52
181.525 137.571 2
227.051 137.395 4
200.386 139.251 17
157.246 142.009 19
267.64 143.921 16
301.817 143.298 37
155.577 145.377 3
356.851 146.321 2
548.889 146.393 11
227.791 147.409 15
315.393 145.793 37
335.803 150.973 36
161.531 151.297 11
546.54 154.31 15
563.82 154.924 30
352.505 154.735 58
358.141 153.729 4
248.55 150.667 27
341.109 155.014 6
322.733 156.998 34
266.903 157.5 49
275.662 158.397 20
352.298 159.253 7
370.107 164.456 22
541.645 164.305 49
311.117 162.809 20
556.235 162.083 22
168.49 169.473 48
222.554 166.026 28
382.186 166.287 60
543.541 168.785 1
379.688 169.301 2
573.167 173.796 37
200.685 171.22 1
346.682 168.089 41
309.168 171.319 17
560.898 171.893 33
569.61 175.062 5
276.927 169.943 28
405.305 172.183 55
539.697 174.572 14
117.357 174.421 14
131.678 174.378 24
149.409 173.731 27
220.931 176.281 54
243.683 170.601 67
51.0237 175.744 7
60.9136 174.042 23
75.4925 175.71 15
103.942 175.011 9
239.862 176.385 5
40.0354 176.771 5
578.318 181.925 19
206.132 180.255 13
235.151 179.536 3
266.851 175.283 63
388.373 179.075 68
219.829 180.769 26
178.543 182.404 21
213.161 183.656 2
540.116 187.415 30
808.272 183.46 23
197.635 185.09 30
549.057 186.399 9
368.149 181.252 69
686.858 187.259 19
697.985 186.55 26
712.7 187.483 7
800.894 187.283 38
352.105 187.909 37
565.285 189.098 38
647.874 187.89 47
659.461 187.303 24
669.539 189.011 23
602.721 189.228 40
604.338 190.849 1
613.791 189.098 20
632.473 188.29 16
639.964 190.105 3
38.7282 191.072 5
93.7871 191.323 2
105.228 190.952 5
587.796 190.137 27
814.369 187.443 29
19.9538 192.443 2
413.281 192.706 4
447.431 189.426 82
540.801 192.183 11
555.62 190.604 30
218.342 193.691 21
231.641 188.438 25
234.461 187.325 25
422.993 192.016 43
432.73 192.521 23
441.652 193.308 11
527.01 193.033 26
214 193.947 9
485.457 192.494 67
494.634 193.175 17
515.552 193.489 15
391.048 195.37 31
459.195 196.572 9
789.855 192.851 43
376.15 198.281 13
470.385 193.947 56
766.923 195.271 28
356.756 198.313 7
368.602 198.567 37
670.918 197.547 16
737.064 195.474 53
750.612 199.86 12
837.705 196.411 18
331.27 198.087 23
686.802 197.942 10
707.07 196.11 29
468.494 198.244 13
682.671 197.633 54
302.24 201.373 22
295.841 198.867 3
545.286 201.052 44
555.285 202.715 2
574.956 198.271 51
769.919 202.474 3
218.903 203.067 13
520.219 203.073 41
527.118 203.598 1
745.374 208.164 17
67.673 204.385 8
106.721 201.269 7
495.176 203.303 98
502.048 205.306 3
250.562 201.518 44
116.257 203.755 38
120.894 200.473 31
33.638 206.832 6
129.253 206.76 14
231.041 204.151 34
209.963 206.684 41
243.87 205.754 16
549.15 213.404 59
24.6741 209.723 9
376.815 208.005 37
524.506 208.97 5
41.7346 208.99 8
893.699 210.388 1
67.7571 213.327 29
470.853 221.519 96
477.577 213.069 4
333.065 210.912 44
343.991 208.848 7
857.889 212.335 5
875.223 212.478 6
205.015 212.466 15
821.757 208.096 16
674.211 215.551 34
866.126 213.992 8
56.255 215.799 29
69.5796 216.418 4
127.492 216.483 14
297.817 216.924 26
455.468 216.042 57
463.176 221.987 25
777.172 213.205 22
197.075 218.506 31
333.666 220.122 5
356.429 215.377 51
724.285 218.133 4
312.936 217.898 20
418.261 215.973 29
674.449 220.105 6
763.028 217.9 27
772.831 220.487 11
846.49 220.521 38
853.728 220.182 4
20.2583 220.527 5
250.306 218.357 40
109.454 222.473 26
630.683 219.77 27
635.33 221.112 4
668.488 225.406 15
713.78 215.786 41
580.495 221.348 48
621.72 222.748 3
87.0588 221.249 13
542.819 223.628 12
867.291 223.53 10
105.649 226.439 6
345.68 224.047 19
487.785 222.103 40
538.352 229.868 45
576.912 227.468 8
612.369 224.2 12
42.7347 225.345 11
521.745 228.145 51
557.424 226.675 28
13.2343 227.287 1
477.539 225.699 7
491.275 227.181 1
650.857 226.151 29
724.876 225.226 33
179.077 227.873 25
197.301 229.025 32
520.786 228.874 6
812.671 226.364 62
137.981 229.544 49
153.661 228.376 37
436.888 227.088 66
640.701 229.511 18
675.705 227.61 27
833.374 225.022 16
422.21 227.767 8
431.178 229.127 7
542.566 232.058 21
826.207 230.462 3
102.033 237.149 26
593.399 229.332 33
750.272 230.114 66
809.809 231.344 2
414.017 233.34 40
748.666 233.008 10
839.51 230.713 7
292.235 230.832 25
504.748 230.774 25
12.2297 234.292 1
797.047 232.081 35
148.903 234.979 7
217.364 230.344 81
822.284 237.837 42
135.854 243.135 19
767.998 235.671 11
203.649 238.238 45
338.887 234.151 24
804.301 236.288 13
105.353 238.282 4
747.362 237.32 1
855.005 234.784 5
33.767 235.792 13
469.36 238.536 39
760.601 238.222 23
143.098 241.27 12
172.594 240.363 41
589.072 243.515 29
813.937 240.348 2
887.027 240.13 3
119.224 242.14 22
355.311 238.583 57
642.79 241.552 46
733.351 239.008 37
771.904 242.452 43
204.79 242.387 1
487.955 238.481 35
514.814 244.502 35
525.85 240.955 34
460.671 244.196 33
655.102 238.682 20
788.206 242.507 59
