2995 27674
553.309 111.46 43
569.591 119.008 35
765.558 122.499 2
549.257 124.106 11
538.651 124.844 28
555.769 142.157 57
753.969 133.267 15
548.481 135.059 8
674 135.271 12
750.387 141.427 25
668.01 140.872 13
729.199 143.449 21
545.807 156.694 10
709.821 158.88 54
715 163.564 9
755.851 173.593 2
698.511 177.692 42
143.053 177.429 7
668.6 184.29 72
685.461 173.536 12
742.223 178.692 17
644.331 184.941 7
760.508 184.827 20
673.403 183.513 5
134.55 184.177 16
592.131 186.49 34
662.786 189.061 16
751.27 193.122 12
637.86 196.282 93
582.361 201.846 55
657.431 196.656 3
155.079 197.43 18
173.111 200.383 84
596.801 204.362 37
623.091 206.948 49
87.2136 206.441 12
597.116 201.635 15
711.711 204.883 26
129.513 207.522 51
142.292 205.887 8
793.322 208.784 2
17.8517 209.889 1
749.142 207.672 18
476.838 213.361 8
552.604 212.859 20
532.184 214.052 2
628.873 212.89 3
516.838 214.195 46
767.664 215.562 11
484.857 216.975 39
121.988 214.699 55
129.354 220.177 15
183.99 218.384 29
197.817 216.216 109
156.756 221.168 53
597.643 217.662 27
501.012 217.985 56
516.195 218.939 16
83.3303 222.396 43
475.007 223.014 13
172.534 222.11 13
411.803 226.835 9
20.531 226.365 1
531.889 225.329 17
784.937 225.829 2
158.762 229.956 12
81.9365 225.71 21
218.6 225.915 55
549.936 229.343 35
592.05 230.963 39
64.591 229.23 19
669.287 231.804 7
199.805 229.548 51
693.708 232.22 27
9.55836 233.444 1
99.384 233.684 27
231.431 230.839 45
231.658 232.974 4
20.0046 234.782 2
426.297 234.54 4
470.901 239.483 30
658.656 240.221 2
22.8792 241.769 1
347.098 242.696 5
576.632 244.24 22
173.955 251.571 30
405.735 243.439 7
82.0083 244.531 37
236.609 243.207 41
420.952 244.71 52
433.391 248.901 26
64.9346 247.321 20
66.1724 247.539 7
469.473 252.416 83
96.6468 249.486 44
26.7181 251.498 4
53.6151 249.799 59
339.287 260.798 58
652.535 251.512 4
153.265 251.657 9
250.763 249.742 97
621.151 255.047 86
636.268 249.792 74
42.5556 253.094 13
360.756 255.63 19
439.126 256.42 9
482.624 260.058 90
467.854 256.277 12
342.739 258.016 1
399.821 260.097 49
510.059 266.305 87
693.571 260.477 14
257.074 258.473 21
22.3325 259.433 3
450.181 259.636 41
513.144 268.713 59
630.19 262.101 9
363.442 265.347 42
95.5953 264.791 3
555.735 260.559 32
154.613 263.389 28
598.176 261.616 59
107.059 261.09 5
116.94 269.001 8
235.3 270.188 87
369.78 270.061 1
497.667 267.685 15
536.182 267.722 37
544.236 270.37 41
13.8498 270.839 2
35.616 268.593 25
517.635 269.394 13
78.5139 269.584 29
338.55 268.351 19
396.642 270.306 38
153.257 277.498 24
619.003 273.316 24
69.4356 273.779 3
185.364 270.689 29
239.826 273.755 1
319.21 273.107 33
637.822 273.759 17
20.4806 276.156 1
268.692 269.921 94
381.326 271.987 70
230.327 273.154 10
580.79 276.247 45
711.74 278.854 9
552.492 279.477 3
223.208 278.634 14
308.535 285.836 78
488.303 280.105 19
734.909 281.245 1
351.04 282.251 37
182.7 281.491 22
246.86 285.801 27
284.577 283.068 61
392.819 285.263 48
626.082 279.709 48
595.804 281.243 13
194.046 284.605 40
148.655 292.318 44
208.436 286.81 2
640.102 285.589 13
192.56 286.157 16
261.221 287.144 5
583.919 287.61 15
708.262 286.439 3
375.054 287.411 30
468.264 289.508 13
597.231 291.229 6
792.889 290.442 3
310.63 288.854 34
499.278 287.909 15
297.728 290.39 17
398.453 292.246 3
523.47 294.194 13
167.045 290.553 23
178.126 294.841 20
302.784 290.99 14
560.963 291.854 37
187.303 293.024 13
618.07 290.69 37
727.811 291.288 30
631.157 294.561 1
