1273 8972
438.926 35.1848 18
479.926 69.5708 31
483.789 70.3765 4
484.523 78.8519 1
479.923 84.2855 29
484.232 89.7114 3
457.122 92.2341 18
482.417 99.6212 24
157.32 104.234 17
478.946 112.067 23
454.899 118.913 8
479.906 123.639 49
481.734 134.361 18
479.976 154.875 47
335.342 176.148 67
330.301 185.459 27
479.978 188.498 96
176.84 195.821 22
486.112 196.591 8
358.785 198.703 25
237.542 219.213 44
180.179 221.744 34
304.26 220.47 11
335.598 221.574 58
261.099 218.741 26
287.999 221.602 53
216.491 234.657 60
473.154 243.617 53
475.79 251.741 13
354.475 252.56 4
396.1 253.329 15
194.961 266.049 63
417.649 274.338 94
473.423 289.535 58
164.757 290.709 47
475.613 294.687 1
208.568 299.672 42
471.575 307.443 38
474.18 312.694 1
386.175 313.524 24
469.638 320.208 40
397.53 329.448 7
470.695 340.158 42
422.884 362.486 12
181.096 362.33 119
466.805 358.61 40
271.902 365.579 52
230.628 363.102 14
175.807 367.507 1
425.792 369.018 35
282.967 374.501 28
431.359 377.687 38
193.965 371.815 33
213.336 378.739 69
431.63 380.097 4
218.671 381.788 5
429.327 382.224 2
224.286 382.005 10
238.247 388.602 32
258.495 395.394 64
272.462 398.655 7
308.7 410.669 32
322.719 419.745 1
344.783 427.144 5
349.253 428.971 2
381.968 438.007 29
397.887 441.534 38
465.645 446.686 22
405.595 442.948 4
411.253 450.034 2
418.601 451.695 10
421.421 450.89 3
467.121 452.924 2
445.456 452.867 9
426.817 455.244 6
433.844 457.628 5
449.634 462.325 9
466.066 467.331 3
457.095 465.425 2
466.287 468.214 2
562.463 3.85451 1
457.425 16.5097 1
424.691 25.6188 11
417.212 26.2335 9
409.68 27.0325 2
399.905 29.5542 3
388.711 31.5646 5
371.432 35.7594 3
429.983 43.0894 12
339.739 43.7702 7
327.476 45.6343 1
316.008 48.8887 7
120.09 52.405 26
297.31 54.5508 10
288.867 56.2857 15
137.591 62.2181 12
232.496 66.7775 15
476.465 66.233 2
217.077 70.2933 24
208.125 72.0856 20
192.958 77.8875 29
179.273 81.7009 11
209.541 77.9664 2
400.438 80.8796 5
212.887 81.5238 3
158.715 85.4352 45
412.973 84.6154 43
176.08 86.1145 8
191.229 86.6728 8
217.993 87.3762 6
204.298 89.3066 10
185.233 90.7203 11
409.428 93.4103 6
162.843 94.6941 8
378.368 95.5031 3
444.196 95.8611 8
439.346 99.5171 19
393.518 98.3225 28
400.615 98.9363 16
468.214 98.2099 2
432.968 100.513 1
157.772 103.742 9
162.51 104.608 2
432.095 106.429 5
465.598 108.87 39
390.226 110.87 3
471.443 112.201 2
450.891 123.429 3
466.402 125.618 7
415.902 128.38 1
369.191 130.878 12
470.278 130.417 2
460.03 131.993 3
359.859 132.468 11
399.533 134.838 15
464.792 134.119 3
156.417 137.233 1
455.403 140.988 20
157.14 145.748 14
340.697 144.336 39
463.555 149.818 9
455.34 149.447 4
443 151.389 29
156.489 149.477 7
332.668 151.267 5
354.33 148.717 9
394.341 155.7 6
425.134 163.786 70
362.933 161.851 35
446.582 162.997 4
377.381 168.215 22
368.336 168.531 15
175.356 169.603 17
353.308 174.657 26
418.396 169.218 10
157.366 177.79 46
335.75 171.64 1
385.201 175.358 11
341.828 177.242 1
156.61 179.275 18
446.151 181.344 17
366.517 189.901 33
452.756 180.497 1
444.001 182.772 4
317.689 184.331 8
467.323 191.32 17
179.522 191.333 1
429.177 191.869 1
473.977 192.889 2
185.773 192.106 29
347.781 199.112 25
175.544 203.788 24
316.662 196.905 22
168.881 197.568 45
