3498 33525
458.618 65.1278 1
457.555 87.9798 35
415.894 99.9892 64
473.077 97.74 48
419.949 101.759 1
442.212 102.92 43
482.813 109.31 16
465.572 103.548 30
438.014 117.872 32
462.672 113.584 4
500.435 112.604 26
448.412 115.937 5
473.854 121.897 38
410.707 121.766 64
439.565 121.165 23
459.237 123.973 38
400.833 126.133 7
448.312 125.608 8
483.669 130.398 30
496.18 137.596 31
507.545 138.397 1
582.782 136.991 25
60.4538 141.683 8
461.417 144.73 37
616.241 143.566 22
604.277 140.596 109
77.4107 142.413 20
602.647 145.793 3
492.453 147.571 32
573.544 147.549 7
211.736 146.574 9
439.354 147.719 9
625.855 148.221 33
405.089 153.357 30
478.801 149.588 72
367.007 154.961 6
396.575 154.658 5
476.883 154.739 1
93.3874 153.891 22
317.922 155.504 28
329.059 155.112 7
352.705 154.709 30
70.028 154.848 53
206.738 158.581 7
469.639 162.024 45
58.3519 156.146 17
283.059 158.07 3
54.6207 162.728 14
275.345 159.733 1
268.436 160.822 1
423.313 157.618 41
456.102 157.355 56
418.965 165.356 3
595.515 159.301 61
577.872 162.746 34
51.3121 165.246 2
242.633 165.122 6
562.669 167.447 10
676.947 168.051 19
642.381 165.541 30
652.696 165.817 8
661.157 165.864 15
731.331 166.681 2
385.871 164.318 32
487.989 163.355 67
629.488 165.194 20
712.752 165.13 23
705.47 166.597 5
354.908 167.91 8
463.93 167.375 26
542.122 168.258 28
694.931 168.785 5
611.776 172.374 30
678.899 169.915 5
75.5495 174.788 34
49.5043 176.13 7
530.69 175.504 29
507.535 183.532 56
708.479 174.133 21
719.398 176.546 6
719.659 174.806 6
121.287 179.174 41
131.925 176.773 38
134.042 178.205 1
692.548 177.968 28
19.5805 178.927 5
27.639 179.051 7
581.946 187.36 61
11.9659 180.845 2
742.247 180.645 1
88.6042 181.6 14
189.948 179.667 42
308.339 178.908 43
186.825 182.256 1
468.78 181.456 73
482.112 183.756 58
601.351 179.994 6
337.724 182.704 25
420.351 184.754 36
683.374 189.805 23
694.823 186.433 4
239.492 184.14 99
49.0941 189.081 26
518.523 186.026 28
288.301 187.324 6
484.922 190.347 35
391.645 184.803 17
60.7945 186.782 18
250.616 186.354 31
442.737 188.572 47
676.605 187.501 60
719.138 189.195 3
200.893 188.765 31
306.879 190.279 19
330.416 191.664 31
623.984 192.15 55
530.802 190.722 34
179.824 194.322 26
314.761 192.052 10
436.304 191.024 8
443.042 192.38 5
373.141 194.198 22
511.645 198.789 60
357.361 193.08 36
561.444 186.765 41
601.964 196.47 80
300.358 198.636 44
486.746 195.864 7
539.255 190.846 51
201.592 196.749 2
284.617 199.46 36
566.234 199.708 59
704.053 195.464 6
59.2509 197.479 9
77.0638 197.372 37
477.507 202.879 76
721.668 202.206 5
182.09 197.5 6
492.701 199.409 42
694.448 196.419 7
366.71 197.703 21
737.657 199.661 2
106.051 204.902 26
416.84 199.382 55
660.691 199.33 50
668.972 198.868 44
287.006 201.412 1
430.58 204.929 45
641.81 197.97 20
651.269 199.862 18
82.6908 202.233 13
226.281 202.058 6
356.077 200.534 33
398.419 200.293 27
614.006 199.476 20
171.205 203.311 23
631.065 198.455 33
144.092 200.469 42
238.806 209.913 90
197.218 207.109 20
735.304 204.667 1
279.866 208.91 61
564.766 205.396 24
239.548 206.733 1
273.074 206.315 23
44.6241 207.66 5
58.3502 205.622 9
89.1141 206.993 40
302.719 209.617 40
591.937 208.271 15
219.44 208.544 129
260.319 207.661 31
614.176 214.3 31
197.949 210.491 11
230.359 208.447 10
357.667 210.359 8
386.663 207.602 29
416.996 213.157 79
436.704 212.784 51
459.618 209.522 27
171.282 213.628 29
559.333 211.42 7
564.437 212.123 1
165.466 210.432 16
641.508 210.734 47
129.428 211.912 30
291.952 217.308 33
266.914 214.498 3
299.541 214.027 4
427.05 214.664 6
447.872 213.286 68
207.049 217.493 30
217.256 222.819 45
325.189 218.774 21
632.045 218.029 8
77.217 215.67 28
92.3884 215.375 28
657.534 216.842 48
681.686 215.347 26
736.024 217.321 2
192.247 218.477 1
462.979 215.453 24
622.462 221 40
727.531 216.636 8
43.9236 220.114 19
250.794 217.792 12
275.093 218.297 47
283.892 219.231 3
352.671 222.143 68
713.281 223.733 16
263.774 218.655 5
309.526 219.776 64
384.597 219.361 12
705.894 218.999 14
181.9 216.357 64
60.588 218.45 41
72.7229 227.238 22
75.41 225.228 40
521.706 217.855 42
161.244 226.452 41
470.719 225.136 39
358.993 232.957 68
456.638 224.289 5
472.359 225.12 1
579.953 231.236 48
394.692 221.783 81
406.226 225.252 8
417.454 226.745 19
436.014 223.606 20
589.852 229.346 20
237.898 231.768 46
431.668 226.55 43
436.47 227.725 5
449.6 222.863 8
468.115 229.713 11
521.544 236.807 10
621.68 230.237 14
687.241 227.288 33
487.403 230.535 7
542.032 230.456 37
185.798 241.587 34
494.929 237.192 76
688.305 232.924 1
716.672 232.234 16
718.17 233.084 1
740.881 233.465 1
237.591 230.202 16
702.728 232.325 27
351.302 242.589 17
636.182 229.12 50
449.817 234.37 31
510.384 238.276 19
522.488 239.16 7
259.976 239.485 24
596.18 239.809 7
175.164 239.887 12
606.187 235.392 23
281.939 251.955 48
351.926 247.352 35
434.533 240.832 25
628.447 242.515 6
591.874 242.315 5
229.886 241.334 48
618.628 243.902 30
640.827 243.086 22
186.868 243.375 17
472.975 251.598 85
207.779 249.826 38
319.805 248.184 68
508.145 245.304 24
670.399 239.138 45
244.166 246.291 28
282.102 252.178 9
496.269 246.998 17
573.753 248.132 23
270.826 242.732 31
271.57 245.292 7
585.348 251.201 25
217.619 246.529 14
479.059 249.87 3
520.467 247.598 31
572.525 249.938 3
227.978 251.416 39
233.566 252.608 1
428.828 257.836 34
670.441 253.93 17
306.743 251.2 41
380.155 253.613 8
505.305 258.996 16
462.822 243.392 56
542.549 256.662 69
556.405 251.15 17
475.68 255.818 2
618.136 254.029 13
179.571 257.318 29
190.074 256.493 16
563.391 255.129 8
275.977 257.92 9
324.841 257.343 22
687.626 260.999 28
742.822 259.88 1
419.64 262.31 26
588.258 261.234 37
281.68 261.863 3
547.929 270.407 18
608.303 255.856 20
625.311 258.984 60
602.531 262.032 20
386.786 264.222 4
393.702 263.641 1
461.28 260.786 9
291.165 261.71 34
300.129 263.561 11
518.129 266.662 48
420.973 266.691 1
572.09 267.438 99
55.6079 268.692 12
587.167 268.718 25
336.83 266.23 31
727.016 269.147 8
330.143 270.926 2
494.913 269.202 30
566.987 267.681 29
29.3759 279.396 15
366.384 270.65 22
545.976 273.461 29
324.425 272.012 6
393.861 272.166 84
716.061 271.069 13
736.977 273.51 2
527.522 274.475 19
72.7315 274.889 33
293.624 275.694 12
517.052 274.806 21
698.675 274.293 10
542.794 276.211 18
111.113 275.974 34
429.349 279.348 42
643.029 276.167 7
647.924 274.947 7
667.954 278.43 9
128.318 275.187 34
480.565 279.859 59
24.9074 280.374 4
388.434 279.393 5
448.163 278.754 62
598.05 273.018 39
375.385 283.243 12
441.402 280.353 1
570.124 280.673 14
585.542 281.955 16
562.597 283.474 3
639.972 282.46 37
502.581 284.564 31
667.318 285.47 7
9.94497 285.619 1
29.2499 285.39 4
340.775 281.926 32
540.94 290.595 31
471.856 284.262 26
455.043 288.37 14
492.66 287.875 8
593.041 291.527 122
738.289 287.543 2
465.598 288.416 14
475.079 288.461 5
290.48 293.951 83
444.69 293.906 4
447.911 289.604 2
734.81 290.862 2
316.375 290.335 18
542.778 291.291 4
623.741 290.511 14
263.635 290.54 42
279.629 289.061 6
567.85 290.776 75
685.411 291.337 34
641.662 296.554 24
674.388 289.598 16
515.009 294.18 10
559.352 293.6 19
587.919 295.762 6
432.117 300.668 41
474.754 299.62 14
726.526 294.273 6
620.89 300.727 34
607.885 299.725 34
336.62 296.994 29
456.982 299.161 49
503.586 294.185 64
542.646 301.972 28
96.2978 302.626 29
483.592 295.548 56
414.604 306.33 107
514.587 300.563 10
522.58 296.134 32
54.5734 302.47 9
576.104 302.329 26
732.453 299.921 7
473.801 302.199 40
489.541 302.442 4
595.774 304.704 20
292.267 304.757 35
109.375 297.371 40
97.194 303.538 18
414.979 307.13 6
435.295 304.552 11
527.95 305.478 3
404.636 305.734 11
