2440 22378
775.198 182.105 6
788.34 187.49 1
708.585 190.421 2
772.68 193.334 8
408.546 191.659 6
772.078 196.628 1
705.479 198.397 19
412.619 202.785 32
687.742 208.84 21
769.731 208.215 9
716.611 210.131 15
705.452 210.723 25
381.363 218.773 28
397.781 225.002 55
682.277 226.244 15
703.092 223.447 3
361.715 229.316 22
457.548 222.891 110
283.671 226.974 1
718.408 228.658 24
780.676 227.07 1
694.57 227.656 22
775.214 227.862 7
428.156 230.795 37
613.615 232.011 8
281.943 233.775 3
395.986 231.3 38
480.495 230.474 55
724.468 235.903 8
765.006 232.559 18
492.568 233.318 50
460.407 235.768 35
783.696 239.938 1
300.064 240.573 26
363.777 240.618 54
674.394 241.09 46
311.239 251.195 60
611.568 242.128 61
735.69 239.541 32
280.156 243.811 13
455.547 243.472 31
627.561 245.465 24
362.631 243.176 15
497.983 245.514 29
673.792 253.872 34
317.471 248.832 2
609.441 248.632 1
349.393 247.677 18
436.35 253.335 43
383.161 252.952 90
512.766 250.401 89
675.353 257.537 24
277.658 253.763 23
316.985 256.712 11
604.628 258.439 40
674.76 257.14 5
519.265 257.854 14
637.966 255.658 29
727.201 257.719 3
291.634 262.503 38
769.36 260.026 3
442.348 258.873 69
316.824 266.193 27
371.363 266.31 47
404.778 261.505 18
422.315 260.398 15
272.315 264.06 21
605.307 263.411 3
341.62 263.205 79
488.324 262.473 31
587.775 263.258 21
653.447 259.646 83
299.01 265.213 14
272.457 268.638 5
334.914 271.207 32
283.089 269.492 55
320.457 272.973 8
498.95 271.228 81
739.226 266.831 3
669.113 273.505 19
764.817 270.811 7
335.361 278.487 88
423.623 270.42 33
503.498 274.456 1
531.512 267.902 85
619.566 273.676 13
578.996 277.319 69
266.634 279.543 30
320.687 277.964 6
452.252 275.845 32
607.055 280.964 49
330.357 281.425 15
494.196 274.466 9
422.137 279.928 2
670.094 284.107 27
550.425 279.717 39
488.087 280.503 15
341.551 283.897 17
785.048 284.196 1
389.806 282.846 22
763.996 285.138 1
362.37 282.488 41
578.183 283.938 31
262.822 290.758 29
314.31 291.09 23
330.858 286.514 9
450.88 285.892 18
524.255 285.198 8
563.903 286.162 37
569.142 286.325 11
747.058 288.025 8
461.089 288.657 43
641.705 289.913 31
419.588 297.599 14
675.806 293.92 28
336.857 294.751 12
449.67 296.963 22
520.038 291.531 12
456.578 297.244 5
591.776 295.883 104
263 296.513 33
295.386 300.49 22
469.838 297.32 15
572.562 300.027 24
694.213 302.031 18
35.4845 300.597 1
248.957 300.98 42
534.119 295.141 71
763.576 301.388 3
327.536 301.864 9
19.8168 307.64 5
131.34 305.282 2
149.197 304.89 2
178.13 303.538 31
196.865 304.116 49
207.232 303.127 4
712.39 303.406 4
94.5285 308.363 4
112.619 305.793 3
141.547 308.022 8
374.394 301.003 27
517.247 306.324 40
546.821 305.831 11
678.201 306.952 19
76.5366 306.748 6
170.435 305.878 13
610.209 306.681 2
67.127 306.998 14
197.498 307.547 12
407.734 302.477 27
487.976 308.72 3
218.002 305.958 59
471.78 308.704 9
497.433 310.818 8
565.116 311.093 62
45.9529 307.717 12
232.615 308.593 99
32.072 311.913 4
59.9207 312.274 18
504.141 304.462 28
457.484 308.448 47
733.184 309.326 19
227.198 314.839 1
266.076 311.312 29
293.232 314.99 8
154.994 319.612 60
328.124 315.63 16
480.941 314.104 5
677.788 315.627 15
12.2198 316.674 3
209.585 314.63 25
390.234 314.449 5
646.122 318.843 20
357.646 321.514 6
371.042 320.036 19
154.276 325.646 74
574.831 321.401 6
784.46 321.113 1
407.764 318.334 44
596.745 321.511 2
501.314 318.936 32
236.805 324.313 7
735.777 321.906 20
335.977 323.967 4
560.453 330.871 21
573.949 324.655 1
647.782 324.806 2
213.949 329.026 5
486.322 325.171 43
191.863 326.769 37
247.533 328.012 10
264.477 328.038 1
567.767 327.986 1
686.223 322.481 39
153.411 328.753 1
128.187 325.985 62
369.098 330.005 23
199.664 334.415 8
482.473 330.617 10
657.656 331.07 3
110.627 333.072 33
6.8773 332.746 1
219.877 331.547 32
305.092 330.244 26
84.5894 330.92 48
261.573 333.865 1
357.859 334.235 27
413.656 331.714 4
56.1102 334.887 5
437.61 331.426 58
67.7628 331.317 31
92.9202 334.19 10
253.158 340.746 25
575.549 331.888 44
380.588 335.604 36
18.6461 337.695 8
602.365 336.351 42
8.03879 340.586 1
319.956 338.018 5
459.758 335.428 26
549.445 340.352 37
258.455 344.377 27
623.037 339.996 14
682.615 338.923 6
54.4684 342.446 23
183.639 337.953 24
480.216 345.667 11
51.8531 344.214 5
280.598 342.977 38
366.888 342.547 28
529.295 345.575 3
340.659 342.95 16
378.517 351.368 58
470.528 346.766 3
43.1348 348.356 18
108.567 345.688 52
23.5582 349.083 3
680.144 352.228 13
780.348 345.623 4
235.331 350.496 12
414.693 353.163 72
41.3459 351.448 1
505.22 352.724 25
519.863 350.236 11
643.772 350.394 5
36.0976 352.043 1
97.8158 353.256 23
223.403 356.205 43
458.8 351.42 44
768.711 355.818 14
194.3 351.378 15
261.89 353.052 9
379.324 353.337 1
251.532 356.478 47
209.26 352.405 39
587.328 355.464 33
50.8611 357.563 21
168.08 352.913 33
171.125 357.019 5
673.681 357.549 14
154.185 357.764 32
178.548 354.904 24
359.826 358.878 5
484.482 358.245 53
93.5801 358.705 12
186.56 357.063 39
259.736 363.33 17
730.774 358.313 7
105.242 360.441 11
121.314 360.047 22
145.37 360.059 26
203.032 366.314 12
527.613 362.77 60
554.445 358.937 20
8.96143 362.268 1
141.655 361.094 3
415.813 361.06 9
637.363 360.809 17
39.6077 361.203 22
100.185 363.033 1
134.229 362.055 4
228.771 362.111 8
244.152 360.849 30
436.684 363.049 43
256.029 364.641 8
348.151 366.215 22
617.05 362.676 75
762.762 364.93 1
79.4573 366.906 25
91.0531 365.775 1
487.261 372.441 13
528.692 374.642 31
566.363 366.105 89
747.521 362.061 29
770.635 364.266 12
374.481 367.048 19
738.36 363.963 24
12.6067 368.089 1
721.795 369.245 38
74.7201 368.978 5
307.706 366.53 51
650.92 366.037 65
705.45 365.65 52
80.0266 368.919 3
474.288 368.397 47
611.186 376.034 37
663.774 373.968 23
681.95 365.958 43
64.2268 370.154 20
385.944 371.573 48
420.837 371.801 85
436.242 373.396 33
279.184 369.386 82
637.182 369.442 19
263.951 375.44 9
411.719 372.771 1
490.478 369.105 25
502.199 378.524 22
631.938 372.569 10
356.17 376.272 107
374.269 377.813 40
588.135 370.622 65
601.154 371.766 58
459.303 371.061 45
466.577 374.92 1
570.207 374.18 7
597.977 374.704 1
391.975 375.623 6
425.152 372.255 18
445.806 373.255 27
549.786 373.867 36
724.752 376.776 18
761.712 376.542 3
538.73 375.308 47
59.2171 376.651 15
147.814 378.046 19
779.311 377.809 2
147.014 382.543 10
360.094 380.533 16
524.777 377.436 19
689.522 384.245 45
265.441 382.776 20
289.88 386.313 27
712.946 380.828 24
182.956 383.294 17
579.693 384.644 22
8.82599 383.922 1
101.997 383.085 6
136.231 383.439 32
203.877 381.472 22
427.354 383.97 20
305.952 384.767 96
325.177 382.344 75
749.169 383.214 22
29.4712 386.63 5
59.5719 385.801 5
524.835 386.744 4
340.206 381.323 58
409.401 384.86 60
313.652 391.098 28
