2725 8972
438.926 35.1848 16
482.291 67.0309 7
483.789 70.3765 12
484.523 78.8519 1
482.997 84.8053 3
484.232 89.7114 5
457.122 92.2341 16
482.928 99.3509 16
483.852 101.297 2
153.73 105.584 1
481.871 113.583 12
454.899 118.913 8
481.854 122.762 22
481.734 134.361 22
482.066 156.737 28
337.726 173.682 13
335.894 182.194 16
481.565 184.885 31
175.418 189.345 5
480.823 194.153 16
361.252 198.128 11
237.193 221.098 13
181.221 221.204 12
302.63 223.04 2
345.019 223.688 1
262.326 221.42 13
286.73 223.604 15
220.846 233.421 6
474.62 243.53 32
475.79 251.741 11
354.475 252.56 4
396.1 253.329 13
197.869 267.625 26
419.625 274.329 38
474.378 289.52 34
165.344 291.867 22
475.613 294.687 2
209.35 300.789 35
472.761 306.398 17
471.708 312.122 6
386.175 313.524 15
472.425 322.177 18
397.53 329.448 5
471.03 340.973 23
424.186 360.775 6
181.096 362.33 13
469.28 361.957 21
278.045 364.91 7
235.772 365.177 3
175.807 367.507 1
426.711 368.384 24
274.215 369.718 21
430.699 374.224 9
193.965 371.815 35
210.639 378.209 35
431.429 379.148 28
216.384 381.215 6
429.327 382.224 3
222.459 380.366 29
239.695 388.439 20
263.377 397.077 20
269.925 401.576 2
306.788 413.531 9
322.719 419.745 1
344.783 427.144 3
349.253 428.971 1
381.541 437.566 19
394.155 444.314 11
466.867 445.88 10
403.273 447.265 1
411.253 450.034 2
418.481 451.855 5
420.606 452.872 1
466.794 452.146 5
447.243 453.715 7
426.587 454.768 4
433.844 457.628 5
449.177 462.486 8
467.006 464.254 1
457.095 465.425 2
466.287 468.214 4
562.463 3.85451 1
457.425 16.5097 1
426.192 23.7587 4
417.212 26.2335 8
409.68 27.0325 2
399.905 29.5542 3
388.711 31.5646 5
371.432 35.7594 3
429.983 43.0894 7
339.739 43.7702 7
327.476 45.6343 1
316.008 48.8887 7
120.09 52.405 26
298.777 52.8963 8
288.709 55.4828 12
138.236 61.7977 6
232.496 66.7775 9
477.042 66.9156 4
219.903 69.188 10
208.125 72.0856 19
191.468 76.0984 16
180.813 77.4925 4
209.541 77.9664 2
400.438 80.8796 4
212.887 81.5238 3
159.093 84.8273 24
412.973 84.6154 35
176.101 86.7325 7
191.229 86.6728 8
217.43 87.1182 5
202.944 89.6808 8
185.233 90.7203 8
409.882 92.4676 5
162.843 94.6941 6
378.368 95.5031 1
447.316 95.0541 3
439.983 98.0272 8
389.738 98.594 2
400.615 98.9363 14
468.214 98.2099 2
432.968 100.513 1
157.772 103.742 21
162.51 104.608 2
432.095 106.429 5
466.85 106.918 24
390.226 110.87 3
472.441 111.965 4
450.891 123.429 3
466.696 124.961 2
415.902 128.38 1
369.191 130.878 9
470.278 130.417 2
460.03 131.993 3
359.794 132.011 7
398.071 136.862 7
465.156 133.488 5
156.417 137.233 1
455.481 139.957 12
156.217 145.879 5
340.595 143.671 21
460.499 145.124 1
455.34 149.447 6
460.709 148.677 3
442.069 151.279 21
155.928 149.067 5
332.784 150.506 3
352.102 150.986 2
394.615 154.575 3
426.338 163 41
361.083 162.787 22
447.178 162.002 2
374.188 163.144 3
368.688 166.646 7
177.274 169.558 8
349.409 171.244 11
419.39 167.411 14
157.183 171.327 14
333.972 174.908 20
385.201 175.358 7
341.828 177.242 2
156.61 179.275 34
446.185 180.2 5
366.16 181.393 7
452.756 180.497 1
444.784 182.922 4
317.442 186.748 3
467.605 190.578 16
179.522 191.333 1
429.177 191.869 1
473.675 193.458 5
184.391 195.263 4
347.607 196.66 12
176.841 198.603 16
315.406 196.373 16
168.953 198.551 32
336.71 201.174 1
201.671 202.755 1
172.129 206.135 9
329.455 207.508 7
341.862 215.022 23
155.698 214.335 41
257.566 215.355 9
348.314 216.124 10
484.888 216.122 3
419.696 217.391 10
273.43 217.382 3
318.711 217.575 1
334.469 218.359 6
290.641 220.326 30
158.425 219.282 7
244.614 219.492 2
315.032 221.226 5
187.189 225.947 20
285.559 222.478 2
267.139 222.969 3
411.33 223.611 1
175.214 224.963 2
292.726 226.041 4
320.826 226.997 17
305.153 228.237 15
340.814 228.851 4
261.857 229.44 6
278.495 228.916 4
288.363 231.251 3
226.727 232.927 10
383.643 232.637 3
192.766 235.122 19
318.915 236.693 2
222.679 239.225 9
360.624 239.67 12
370.546 240.867 35
154.175 241.574 6
379.493 242.036 15
432.202 244.302 3
160.085 244.718 1
311.478 245.449 4
418.882 247.959 12
482.947 248.154 3
382.898 255.326 27
482.514 253.868 1
317.892 254.778 6
390.117 258.18 25
217.827 257.331 6
355.165 260.036 15
402.207 260.087 31
161.814 260.286 2
363.807 260.126 3
319.291 262.864 1
345.192 263.056 3
153.93 265.005 1
217.957 266.085 2
229.76 265.964 3
355.3 271.384 3
390.988 275.546 26
437.331 275.064 14
350.967 277.86 5
453.492 280.003 5
229.669 280.616 12
340.148 278.995 2
424.313 281.084 2
156.08 282.714 29
200.775 279.489 6
168.55 282.371 1
403.7 289.936 14
154.512 291.402 17
171.979 290.59 13
338.245 299.509 26
441.548 297.592 14
224.667 296.469 6
345.779 299.195 1
176.91 301.113 7
214.042 301.615 3
219.322 308.3 5
274.716 316.744 1
173.714 323.082 8
362.745 327.226 5
232.954 327.866 8
175.583 328.482 1
240.924 332.764 19
207.353 334.121 16
393.031 334.837 3
388.114 337.311 4
187.581 338.309 3
475.809 340.522 1
159.708 341.619 9
424.43 342.055 1
171.514 344.064 1
409.62 345.66 12
467.288 345.273 2
152.941 346.75 2
160.948 348.861 17
208.209 352.367 1
153.494 354.416 6
161.504 356.171 68
258.726 357.304 24
474.575 359.21 2
429.527 360.59 15
162.602 363.672 7
272.341 364.223 21
172.556 364.246 3
182.127 366.678 4
235.927 370.963 11
282.342 371.765 9
202.138 371.68 6
436.654 377.966 3
124.503 380.357 11
473.179 383.072 1
548.822 384.305 1
433.536 384.745 2
254.158 394.622 27
272.462 398.655 4
359.137 409.718 14
368.545 412.194 8
389.606 419.282 2
395.768 421.16 11
408.21 424.721 4
41.4742 425.462 7
369.847 425.781 4
416.809 427.034 7
427.884 431.595 10
385.777 437.445 2
410.652 441.002 10
456.525 441.799 4
399.312 443.251 4
381.888 444.013 5
426.35 450.383 2
450.943 467.225 1
122.904 473.711 1
538.674 474.931 1
483.156 12.8676 1
253.915 62.8458 6
461.412 115.64 7
240.851 214.981 27
304.26 220.47 9
177.754 225.613 4
232.844 250.745 9
184.086 254.275 4
155.408 254.932 41
156.642 265.95 9
321.344 276.151 4
189.91 299.376 21
181.327 322.191 27
196.648 332.105 11
163.734 366.447 4
249.462 367.417 10
439.7 37.0923 1
483.64 87.7316 4
457.051 92.9538 1
354.797 162.02 1
377.553 172.838 20
313.716 213.755 16
201.366 215 6
149.195 286.903 1
475.864 291.455 1
333.142 293.277 10
166.299 295.049 1
474.403 308.678 2
218.312 322.471 15
378.135 333.222 27
149.027 351.884 2
195.808 373.343 3
275.732 374.124 1
211.891 379.038 3
240.057 389.473 1
368.242 435.401 6
466.822 448.697 1
421.242 450.128 6
492.174 22.8652 1
419.066 28.3416 1
376.038 37.2874 1
359.801 41.5701 2
432.761 44.9345 1
297.8 55.1273 1
288.661 57.2584 2
255.826 65.1007 5
234.751 67.7969 2
216.67 72.5349 16
211.335 73.0477 2
195.544 79.2662 9
179.002 82.1315 8
413.051 84.9881 2
159.881 87.1516 6
220.775 88.3089 1
393.518 98.3225 22
441.682 99.4966 3
460.649 97.8251 7
406.08 103.095 8
489.812 108.655 2
379.138 112.76 9
464.577 114.502 22
361.882 134.676 4
402.483 138.557 3
455.12 144.179 5
159.255 147.78 6
442.808 153.844 10
396.279 157.56 1
330.072 159.71 2
447.502 164.999 1
160.362 176.194 5
334.64 179.366 14
389.103 175.326 5
347.429 179.556 8
447.718 182.796 4
469.062 190.879 2
334.761 192.327 4
318.133 194.267 2
177.443 200.493 2
349.176 201.044 3
486.799 201.02 4
332.108 208.829 2
156.951 213.563 2
241.504 214.889 2
260.109 217.803 16
351.062 218.528 3
180.346 222.762 4
189.732 225.068 4
246.626 225.071 6
270.067 225.786 3
294.306 230.552 1
213.774 234.154 36
390.34 235.244 4
197.312 238.612 16
486.497 238.515 2
369.312 242.116 7
224.417 243.184 4
382.166 245.999 16
486.198 250.063 1
157.013 254.734 1
234.061 253.977 2
187.511 255.476 2
384.534 257.864 10
207.233 262.701 10
401.875 264.419 13
170.474 264.513 6
349.786 266.166 10
357.553 274.935 2
390.799 278.569 8
203.362 277.687 3
159.254 283.615 5
231.429 288.354 18
427.166 285.173 1
173.535 289.213 4
482.586 298.518 1
443.048 299.635 1
339.156 302.629 9
180.762 302.478 1
448.722 304.017 11
479.96 315.717 4
156.849 326.697 24
200.855 334.215 5
245.702 335.788 14
381.217 342.511 10
430.095 346.255 1
210.343 356.912 1
433.264 364.968 15
166.104 368.667 2
256.011 370.26 16
285.145 372.684 3
179.356 374.569 3
241.233 374.52 2
465.564 382.364 31
200.795 383.383 6
258.755 404.668 2
312.609 422.778 1
373.192 443.517 2
383.964 446.781 1
402.139 453.248 1
473.624 457.82 1
452.717 470.626 1
479.559 69.5121 6
436.143 86.1961 2
366.517 189.901 7
338.595 220.062 21
322.602 227.704 4
320.223 246.198 2
429.08 262.429 7
207.657 297.707 1
190.706 302.844 12
210.723 338.266 7
234.94 343.879 15
412.978 344.387 15
431.545 347.983 1
159.795 352.423 4
272.108 367.55 11
480.569 85.1133 5
479.749 190.322 5
318.351 214.966 1
306.769 238.673 5
148.963 276.516 3
470.847 316.759 1
212.352 321.845 5
419.173 351.026 1
292.106 356.109 1
191.111 372.664 8
431.582 377.609 3
232.042 382.498 3
261.771 396.994 4
315.153 411.343 1
405.595 442.948 4
423.628 449.326 1
452.773 459.764 1
477.137 21.3605 1
424.512 32.9997 1
378.902 42.5001 1
295.917 60.953 1
258.999 69.2633 1
207.698 82.0891 1
419.179 87.0868 1
16.438 95.7068 1
462.717 107.356 1
443.933 110.312 4
408.461 145.289 18
165.451 148.237 1
342.857 149.911 2
426.435 168.653 4
398.042 176.914 16
166.155 182.394 1
356.878 185.383 7
373.062 193.221 3
494.542 197.543 1
161.925 213.159 1
327.852 231.48 3
249.372 236.931 2
371.743 248.587 10
326.629 254.232 1
161.5 256.797 1
213.998 261.531 1
240.899 263.627 1
434.273 262.721 1
393.535 281.983 1
162.566 291.146 1
236.665 294.464 1
339.04 307.163 5
292.571 317.193 1
162.927 329.143 1
250.527 332.114 1
212.018 342.538 1
388.705 349.943 1
446.633 370.875 3
292.614 373.037 15
205.241 390.44 1
15.6376 400.404 1
273.385 414.883 1
379.405 428.386 1
383.147 452.453 1
480.625 461.392 1
474.509 79.621 5
382.861 120 2
480.211 191.485 1
304.678 257.895 1
371.528 300.313 1
143.817 324.085 1
466.087 326.495 1
225.768 375.725 1
303.11 388.541 1
267.51 395.35 3
327.828 410.67 1
429.496 39.3397 2
465.592 85.5758 2
187.996 101.999 1
510.594 111.627 1
31.2979 113.9 1
386.765 128.238 13
417.455 153.045 1
339.394 176.963 1
177.864 193.884 3
387.383 199.934 2
507.646 208.281 1
338.189 253.283 1
446.578 267.694 1
253.022 307.32 1
499.092 337.51 1
174.695 339.474 1
278.04 429.172 1
326.475 328.093 2
477.748 193.003 1
297.949 274.368 2
456.903 346.414 2
289.611 383.964 1
440.428 105.325 1
209.224 120.827 1
533.534 143.41 1
515.228 259.558 1
364.885 271.461 3
202.422 342.015 3
506.665 392.428 1
435.969 152.639 1
363.707 209.705 19
187.61 231.935 3
187.486 370.132 15
128.202 388.93 10
365.676 433.334 10
124.576 58.9836 1
263.701 61.3588 8
