8779 33525
458.618 65.1278 1
459.671 86.5685 15
416.104 98.0422 29
477.603 100.502 4
412.599 100.97 1
419.923 101.07 3
440.995 103.218 17
477.587 104.863 2
467.308 106.358 9
440.676 112.508 11
468.638 112.617 1
500.556 112.721 19
447.916 116.499 3
470.125 118.897 7
405.332 118.635 6
439.565 121.165 25
459.237 123.973 24
406.774 126.071 2
448.312 125.608 8
484.855 132.416 8
498.944 137.366 12
507.545 138.397 1
582.782 136.991 19
60.6671 141.902 5
461.417 144.73 16
616.241 143.566 20
607.058 141.896 31
77.7422 144.427 9
603.194 144.333 20
492.925 147.955 9
573.544 147.549 5
211.736 146.574 7
440.024 148.788 2
625.436 148.412 21
401.214 150.7 3
481.797 151.681 26
367.922 154.469 5
396.575 154.658 5
476.883 154.739 1
94.2635 154.042 9
320.833 154.85 5
329.059 155.112 6
353.771 154.805 17
70.0777 155.066 30
207.668 157.625 2
471.887 156.551 3
58.2013 156.771 11
282.882 158.73 2
52.0237 160.277 2
275.345 159.733 1
268.436 160.822 1
421.785 160.333 15
456.402 158.292 42
417.864 161.553 1
597.169 161.612 17
578.479 163.053 14
51.9555 164.529 6
242.633 165.122 2
558.746 165.388 2
677.243 166.263 5
642.067 166.003 17
651.857 166.326 5
661.157 165.864 12
731.331 166.681 2
389.313 165.906 6
484.324 165.985 18
632.066 167.064 10
712.362 166.231 14
705.673 166.992 6
356.662 167.76 4
470.43 169.106 6
539.063 167.989 6
694.931 168.785 5
614.444 170.982 8
678.899 169.915 10
75.5495 174.788 20
50.3055 175.803 6
533.164 175.321 13
509.585 175.778 2
709.354 176.241 2
714.561 176.474 2
719.659 174.806 7
120.214 177.213 12
130.704 177.097 32
132.865 178.044 4
693.095 178.462 18
19.5805 178.927 5
27.639 179.051 6
583.361 179.255 1
11.9659 180.845 2
742.247 180.645 1
91.8725 181.473 6
192.002 179.935 20
308.695 181.521 2
187.515 180.551 11
468.812 182.561 35
480.873 182.077 11
602.772 182.767 2
337.724 182.704 5
421.858 183.559 10
685.693 183.152 2
694.717 182.851 1
227.623 184.464 4
49.8062 187.753 15
511.375 183.756 5
288.301 187.324 6
486.224 187.651 30
388.83 187.715 6
63.5275 188.242 4
248.61 187.821 31
448.293 189.336 1
676.38 188.037 33
719.138 189.195 2
202.612 189.14 9
306.198 190.64 2
324.438 190.593 2
620.579 190.712 1
308.321 191.671 2
530.496 190.965 11
180.508 193.87 6
314.761 192.052 15
436.499 190.956 15
442.945 191.763 16
374.879 193.203 7
512.269 194.348 12
359.91 193.412 4
560.58 194.95 12
603.59 194.89 11
294.408 195.114 7
486.746 195.864 10
540.025 191.073 18
201.592 196.749 1
284.896 198.62 17
574.389 198.538 19
704.053 195.464 6
63.2103 197.358 1
77.5693 198.88 12
473.848 197.217 5
719.629 197.239 1
181.891 197.184 14
499.298 198.157 5
695.607 198.565 2
369.034 198.654 6
737.657 199.661 1
110.748 200.525 1
420.981 200.021 21
660.567 199.873 22
671.97 199.532 7
285.357 202.512 7
431.372 200.721 8
641.59 199.958 5
651.269 199.862 14
83.2088 201.14 12
226.313 201.884 2
356.331 201.193 15
401.494 200.903 8
614.006 199.476 14
173.335 203.06 15
632.436 203.502 3
148.943 203.166 10
240.609 204.559 14
360.269 203.449 1
197.635 205.732 5
735.304 204.667 1
282.255 205.683 1
567.064 206.594 10
239.548 206.733 1
273.247 206.501 25
44.6241 207.66 5
52.2367 207.676 1
83.7311 206.15 3
302.719 209.617 2
592.584 208.525 3
218.685 209.179 47
261.813 210.441 11
614.323 209.851 1
198.058 210.105 11
228.339 209.373 35
357.667 210.359 8
391.245 211.944 10
417.928 210.017 49
437.98 210.044 8
453.614 211.123 1
171.282 213.628 12
559.333 211.42 4
564.437 212.123 1
166.036 209.713 16
640.924 211.754 23
129.428 211.912 26
288.111 213.865 9
266.914 214.498 3
299.553 214.572 7
431.254 214.957 3
171.677 214.327 5
447.288 214.724 26
207.345 217.052 12
215.15 215.23 8
320.843 217.265 3
635.082 216.285 3
77.4613 215.567 28
92.8449 215.171 17
658.213 216.486 27
681.404 216.391 14
736.024 217.321 1
192.247 218.477 1
454.668 219.178 14
618.348 217.626 7
729.082 218.122 2
45.29 219.454 7
251.356 217.564 10
274.296 218.818 29
282.537 217.799 24
283.892 219.231 2
353.145 218.685 3
714.881 218.802 2
267.185 219.944 2
307.84 218.029 22
