7523 27674
553.309 111.46 28
570.121 119.789 14
765.558 122.499 2
549.257 124.106 3
538.546 127.833 1
560.846 132.623 13
753.969 133.267 14
548.481 135.059 4
676.418 137.095 4
751.536 140.389 11
668.947 146.583 4
729.404 146.108 11
546.056 155.393 4
706.206 161.065 11
715 163.564 8
755.851 173.593 2
699.207 178.199 33
146.29 176.786 3
674.669 179.023 5
684.574 176.428 4
742.223 178.692 13
643.069 179.868 1
760.456 182.088 6
673.233 183.538 16
137.641 186.076 4
590.992 188.766 13
663.197 191.867 5
751.161 193.337 9
637.803 195.997 2
574.649 197.281 1
657.431 196.656 3
161.076 198.061 2
177.35 202.11 23
606.934 204.988 1
625.694 205.953 11
89.4203 206.822 6
598.456 205.602 4
711.837 206.512 19
134.041 207.478 17
142.292 205.887 6
793.322 208.784 2
17.8517 209.889 1
750.808 209.928 10
476.838 213.361 6
552.901 213.586 7
532.184 214.052 1
626.785 212.518 10
522.734 214.927 2
767.664 215.562 11
487.766 218.392 2
122.478 213.73 33
128.749 219.501 21
183.99 218.384 20
199.202 217.311 43
163.198 220.268 3
601.128 220.998 1
502.429 220.568 19
517.213 216.147 34
91.0042 222.621 3
476.025 223.056 9
172.534 222.11 7
410.961 226.639 6
20.531 226.365 1
532.467 226.369 4
784.937 225.829 2
159.292 227.4 10
81.8062 226.243 16
215.448 228.357 16
555.529 231.37 7
591.239 230.246 3
64.591 229.23 10
670.078 231.229 3
199.094 233.312 7
692.512 232.327 6
9.55836 233.444 1
100.698 234.03 7
229.571 233.168 22
231.431 230.839 15
20.0046 234.782 2
426.791 236.726 1
473.265 235.797 8
658.656 240.221 2
22.8792 241.769 1
347.098 242.696 5
577.571 244.427 13
173.844 244.409 6
405.735 243.439 6
85.8156 243.925 7
237.614 245.239 17
420.952 244.71 18
436.451 245.766 9
60.3037 247.735 3
65.8801 247.315 23
474.828 248.806 17
100.428 247.092 5
26.7181 251.498 3
52.9975 249.351 13
344.97 251.068 11
652.535 251.512 4
153.5 252.241 6
250.717 249.83 60
620.411 251.218 7
635.462 252.493 39
45.7393 256.045 1
360.756 255.63 12
439.692 256.055 4
482.996 255.102 7
467.854 256.277 23
340.558 259.497 14
402.152 257.13 23
501.925 258.279 2
688.907 257.252 3
257.074 258.473 11
22.3325 259.433 3
449.935 260.356 25
512.763 261.667 1
630.19 262.101 6
366.372 264.233 12
95.5953 264.791 3
556.284 263.987 12
154.613 263.389 20
603.896 265.349 12
105.594 267.61 1
113.662 268.39 1
241.867 269.092 3
369.217 269.235 5
497.424 269.041 7
531.446 269.585 5
545.425 269.598 13
13.8498 270.839 2
35.8556 270.067 16
516.003 269.543 26
81.0299 272.278 1
338.47 268.939 14
398.663 270.405 21
150.494 272.595 1
619.003 273.316 3
69.4356 273.779 3
191.234 271.876 12
239.826 273.755 2
322.254 271.871 10
637.822 273.759 10
20.4806 276.156 1
273.916 274.611 19
382.01 274.556 29
231.497 277.444 6
581.481 275.842 30
711.74 278.854 7
552.492 279.477 3
224.256 281.082 1
317.238 280.384 25
489.913 280.582 9
734.909 281.245 1
350.818 281.906 3
183.65 282.257 13
245.734 284.222 7
284.577 283.068 18
397.666 284.454 2
630.236 283.123 4
594.913 281.265 7
202.476 285.744 2
149.344 287.206 1
208.436 286.81 1
634.657 286.054 3
192.461 286.923 27
261.221 287.144 5
583.919 287.61 10
708.606 288.697 1
375.682 287.335 14
467.661 289.016 9
597.231 291.229 3
792.889 290.442 3
313.3 288.396 26
