3968 12928
538.756 20.0045 1
27.1603 20.9877 3
32.6726 32.5512 1
32.7548 39.633 3
566.836 39.5614 16
32.6792 45.0307 2
32.7325 51.803 6
32.7637 56.6064 1
31.9316 62.3631 18
620.632 78.629 1
620.669 82.9971 5
511.222 89.1179 1
620.615 91.1628 1
514.64 98.6401 4
620.7 102.315 4
620.668 111.204 4
620.871 112.815 2
621.191 125.26 2
589.416 126.889 16
620.81 133.824 4
451.724 134.884 16
620.562 143.93 4
620.594 154.347 1
446.445 155.353 17
620.128 167.318 8
430.58 175.728 21
428.771 186.837 20
619.47 192.677 8
92.3631 193.846 8
84.6359 199.553 16
619.307 200.906 5
467.699 206.691 20
79.9523 212.254 1
69.9108 213.208 34
107.701 214.051 9
479.547 216.924 9
618.922 218.989 1
282.475 225.043 1
287.46 225.855 1
256.773 226.405 26
442.024 229.844 7
101.016 228.997 3
270.256 229.453 9
323.979 231.398 2
266.602 232.755 3
87.9769 235.143 9
298.155 233.022 7
442.468 234.164 13
38.8113 235.508 7
350.736 234.487 17
358.628 234.323 12
368.357 237.31 7
372.862 237.565 2
380.409 237.266 1
32.7018 238.249 5
244.844 238.87 1
347.62 238.442 4
344.311 241.872 2
240.017 241.427 9
293.353 239.886 24
110.792 246.597 21
232.122 246.56 7
618.489 249.163 6
422.564 253.405 3
222.479 254.223 9
618.898 255.763 1
202.783 259.608 21
519.238 264.431 21
535.07 265.685 18
460.315 268.955 15
537.689 277.974 13
176.182 282.685 1
537.913 286.891 6
616.929 292.123 6
458.51 292.986 2
450.534 295.991 12
618.277 297.189 2
618.414 308.278 6
153.19 309.837 29
33.3607 310.852 4
44.2086 312.253 11
151.189 314.339 4
618.511 314.331 1
421.771 317.107 18
524.425 317.511 3
431.745 319.828 8
529.032 321.239 1
534.628 320.894 6
618.502 323.741 6
37.098 329.904 21
50.0756 330.879 11
512.096 331.177 16
33.5576 334.581 7
462.401 334.605 4
618.216 336.357 3
45.7498 337.983 4
616.985 342.229 12
519.246 347.734 3
527.37 345.913 37
69.0932 351.197 9
514.28 350.231 5
485.296 351.627 11
554.86 354.447 5
179.255 358.687 44
615.696 363.051 5
562.394 370.161 3
564.538 378.299 21
571.015 383.819 12
559.285 389.458 6
572.11 388.834 4
567.327 390.436 15
253.869 393.348 33
105.799 407.933 10
151.635 409.441 2
316.639 416.835 5
91.6408 422.568 5
334.504 420.599 12
332.302 431.153 9
136.569 432.2 8
28.4352 433.289 1
87.921 434.605 2
97.1283 438.776 4
81.4063 441.249 3
609.768 442.318 10
114.217 448.84 4
610.636 449.562 4
47.6417 453.505 1
156.23 453.76 10
93.9583 456.31 4
101.282 456.267 2
112.554 454.869 6
119.483 456.102 2
43.1862 455.799 5
63.5201 455.83 4
74.8159 455.817 5
514.953 459.723 1
610.469 460.305 1
280.476 462.546 2
43.705 463.992 2
74.3109 464.967 1
78.6113 465.007 3
591.045 464.964 3
599.265 464.95 1
609.879 464.5 4
99.0894 465.437 2
104.968 465.65 1
563.632 465.662 3
571.712 465.537 2
117.835 466.114 2
126.46 466.284 1
504.803 466.776 2
534.617 466.307 1
544.595 466.241 1
160.059 467.091 2
495.03 467.47 1
498.847 467.338 1
512.576 466.924 1
520.681 466.867 1
173.136 467.745 1
183.357 467.788 1
194.119 468.271 1
204.442 468.383 2
449.373 468.073 1
456.807 468.252 1
463.476 467.948 1
468.776 467.884 1
485.192 467.59 1
213.929 468.575 1
262.705 469.214 1
414.63 468.858 1
420.898 468.87 1
429.46 468.76 1
440.033 468.504 1
290.639 469.47 1
297.248 469.391 1
310.133 469.388 1
320.335 469.772 1
327.489 469.783 1
335.337 469.846 1
342.355 469.862 1
348.182 469.628 1
377.509 469.553 1
385.529 469.305 1
391.988 469.264 1
398.13 469.32 1
403.671 469.238 1
408.291 469.201 1
180.634 21.0567 2
186.369 21.0821 2
216.161 21.1092 1
222.14 20.6425 5
229.652 21.1997 2
339.981 20.5947 2
