3467 15152
426.243 7.34162 1
268.283 9.43603 1
150.393 10.2886 1
23.0166 14.8326 5
7.40044 15.0858 1
421.69 15.714 5
35.9954 16.1402 7
421.737 20.9159 14
403.909 22.1527 10
499.828 21.6558 1
386.872 23.1176 10
257.03 31.1834 9
155.204 33.6471 8
146.386 38.0143 20
144.156 40.3188 1
276.456 59.758 2
33.259 61.7081 5
278.317 64.5181 4
279.179 68.0266 5
279.518 76.8757 6
281.728 80.1253 22
276.877 85.1075 4
211.821 86.2598 14
224.234 85.5883 19
232.372 85.6908 22
169.412 86.5388 9
203.918 86.8427 33
154.919 88.9686 9
164.455 88.3987 17
268.582 93.2182 12
247.839 91.0703 13
270.171 96.6093 11
161.055 94.9452 79
209.555 95.5231 36
246.69 101.154 5
184.491 104.89 17
157.761 108.008 7
247.277 106.028 13
172.323 107.517 23
198.108 109.236 12
224.694 112.428 22
267.74 112.957 11
200.323 113.772 18
374.043 117.65 12
199.725 119.087 2
185.026 119.9 8
192.802 120.445 10
263.693 119.685 14
403.7 120.908 1
250.7 122.175 9
164.945 123.52 1
182.904 124.757 1
297.62 124.36 13
402.944 125.639 1
401.779 132.104 9
401.04 135.142 2
212.771 140.427 4
361.854 137.582 21
294.159 139.25 30
33.5335 152.837 8
112.533 151.127 28
124.982 153.279 11
106.122 153.909 2
136.6 154.699 31
127.875 155.607 10
42.4093 157.169 14
33.3412 156.659 18
140.284 164.075 21
195.199 163.469 3
138.405 166.468 24
280.641 165.43 33
138.314 167.553 1
217.231 167.229 1
393.306 172.59 27
273.825 177.327 33
392.811 176.033 9
119.245 179.052 29
116.335 183.65 8
146.541 181.704 11
113.678 186.26 7
260.951 188.801 24
256.061 192.546 12
382.784 194.126 13
131.59 195.815 1
389.899 195.941 9
98.1983 201.988 3
265.784 201.29 26
94.6848 204.461 7
169.543 206.199 6
91.3713 207.031 8
275.333 206.88 5
387.69 208.054 2
279.89 210.08 2
286.512 213.521 4
152.117 213.644 11
133.056 214.488 19
135.362 222.578 17
305.972 220.882 6
148.889 221.368 2
487.322 222.256 9
384.592 222.372 6
142.522 223.501 14
133.418 224.781 4
153.766 223.064 21
185.016 226.49 7
43.512 226.995 20
33.9742 227.701 6
41.026 228.925 8
137.336 229.949 1
151.32 230.081 4
332.668 232.741 2
138.047 233.826 2
32.1949 233.897 22
39.9389 241.177 8
140.751 242.784 11
53.587 243.035 23
254.957 245.189 24
58.2709 244.542 18
175.622 245.702 7
62.2712 248.894 17
169.965 249.197 6
142.007 249.192 12
9.89922 253.224 1
165.444 252.858 4
193.09 252.515 20
339.741 253.304 2
218.454 253.785 12
254.931 254.619 18
351.383 255.636 6
146.255 256.629 11
158.645 256.454 14
178.955 255.708 5
185.76 257.276 25
354.457 258.886 2
175.747 258.321 6
196.091 258.508 7
254.175 260.093 28
148.53 263.425 12
