2180 11278
339.713 3.80314 1
72.5191 4.42085 1
158.049 4.9461 2
294.845 6.92994 1
31.7639 7.72156 1
72.6833 7.67199 2
346.405 8.40618 4
83.843 8.97967 3
315.063 8.16084 4
298.209 9.37533 1
154.815 10.0455 1
159.008 10.2302 1
163.429 10.7004 6
329.458 10.9554 2
55.5763 11.4253 5
128.067 11.4266 6
167.13 12.0887 6
353.389 11.8761 2
22.5079 13.0844 4
34.327 13.4347 8
164.461 13.9973 10
306.181 14.3223 4
25.2877 15.6915 8
353.473 16.148 2
160.716 16.8755 2
10.0678 17.1274 2
305.825 17.7348 15
328.139 17.606 1
329.14 20.344 2
345.139 20.7899 9
304.644 23.2283 11
351.16 20.6449 3
353.51 20.7904 1
344.23 21.6413 1
305.226 24.1033 1
321.046 24.1796 12
231.749 25.6021 16
351.159 26.286 4
224.091 26.198 4
324.286 26.3899 1
239.865 26.9332 2
210.342 27.4628 16
29.2478 29.9452 1
322.998 30.5958 20
305.638 32.2907 16
322.966 37.1172 16
256.933 34.9391 5
148.666 35.1775 15
307.103 35.7024 11
264.009 38.1935 5
322.6 38.4959 5
339.659 37.5766 5
267.934 40.1112 16
308.172 40.183 4
318.903 40.392 3
271.358 41.6966 1
308.351 43.2295 3
277.674 44.63 4
282.023 46.55 9
218.532 47.446 11
285.664 48.0656 10
206.949 47.9732 25
193.563 48.891 11
200.132 49.2138 8
213.545 49.4278 14
172.706 50.7411 6
215.289 53.988 15
155.279 51.9512 13
296.268 52.8232 2
190.176 52.841 42
226.905 53.0825 4
211.918 54.1334 4
299.927 54.2583 6
182.107 54.6766 5
353.253 54.8933 1
123.216 54.8527 27
120.125 55.6081 1
303.827 56 6
111.456 55.2989 7
98.1428 56.7304 8
115.382 56.6068 18
200.896 57.4533 29
333.005 56.9937 5
131.78 56.4249 27
158.102 57.2913 59
83.0726 57.5547 9
92.0529 58.4943 12
147.478 58.9632 16
167.144 61.2694 7
153.893 58.3007 48
172.689 59.7899 79
103.657 58.8897 31
225.51 63.6132 29
203.265 62.2888 2
114.593 64.0978 3
76.6986 63.3964 13
118.551 63.8306 38
2.73316 65.505 1
54.9121 66.5329 8
203.455 66.2359 2
215.3 65.7012 4
223.58 66.113 22
138.851 66.6892 17
331.065 67.9016 1
335.101 69.9015 7
55.0603 73.3912 30
94.1903 71.473 11
139.298 72.3626 20
340 71.4708 12
79.0185 71.8901 12
165.152 71.225 8
227.342 73.2464 3
131.477 73.7293 1
147.641 72.9922 6
120.149 73.2307 4
209.2 74.0525 8
196.987 74.679 3
108.98 73.2953 20
190.347 78.4767 39
180.405 78.7793 10
132.25 79.1721 12
170.169 76.4361 5
95.5905 77.0877 4
163.124 77.4832 2
155.76 78.984 4
79.4229 77.438 3
90.1733 78.6515 26
100.26 85.0512 29
93.5725 82.6161 1
86.5943 83.9941 21
353.34 93.5968 2
56.4278 96.2083 2
243.286 97.5672 4
257.261 99.9166 6
262.343 100.493 3
175.837 101.981 25
156.622 102.05 21
186.753 102.218 58
278.237 103.48 12
353.42 105.178 2
304.755 107.591 5
56.2889 108.632 2
353.383 108.808 1
151.01 111.356 29
322.665 110.347 4
56.4827 111.192 1
135.419 110.755 8
334.08 111.738 4
340.71 111.629 13
353.411 112.418 1
141.748 116.109 9
146.973 116.568 31
140.395 117.336 13
132.171 117.472 25
156.692 118.375 45
173.056 119.435 23
163.926 119.135 29
169.672 119.43 5
172.325 119.799 1
149.846 121.065 19
153.64 116.67 20
143.996 121.769 25
141.562 122.96 37
160.102 124.005 27
178.988 123.186 13
121.757 125.958 8
158.771 127.626 3
148.075 126.764 38
353.424 127.776 2
154.654 129.4 7
126.706 129.447 25
132.623 129.131 40
131.677 132.897 14
10.9502 131.985 4
353.416 133.41 2
132.238 137.399 52
172.151 136.222 19
165.074 135.772 41
57.0358 137.953 2
183.747 135.78 65
13.405 138.35 1
169.493 139.968 3
145.314 139.734 6
175.336 140.995 40
186.936 143.869 32
56.4278 141.61 3
13.4819 143.572 6
134.656 143.641 4
129.097 144.728 25
122.085 147.226 2
353.327 150.381 2
57.6511 152.574 2
353.395 154.968 1
340.659 157.467 7
332.276 159.77 5
324.91 161.051 8
318.847 162.088 4
300.826 164.813 19
296.944 165.016 3
290.127 166.495 7
286.326 167.278 1
276.399 168.767 8
57.8873 168.828 7
47.9063 168.601 16
268.149 170.283 27
57.849 173.108 3
184.397 172.964 31
208.623 175.128 3
196.176 173.611 12
58.1005 176.208 1
58.1543 181.704 1
119.145 185.181 33
