2243 27674
552.689 111.263 47
569.591 119.008 40
765.558 122.499 2
549.338 123.168 16
538.651 124.844 27
555.769 142.157 74
754.067 134.068 30
552.578 144.561 57
674 135.271 12
750.387 141.427 27
668.01 140.872 15
730.389 146.999 45
544.808 155.15 11
709.821 158.88 62
715.142 163.414 6
755.851 173.593 3
698.511 177.692 45
146.29 176.786 8
668.6 184.29 85
684.625 171.61 15
742.223 178.692 17
642.879 189.083 115
760.508 184.827 20
673.434 184.843 1
145.442 186.241 68
593.888 200.728 98
662.786 189.061 10
751.411 192.025 14
634.258 200.839 47
580.119 200.034 58
657.431 196.656 3
161.076 198.061 69
172.559 201.723 69
601.207 202.868 4
621.318 209.483 67
95.07 214.113 56
598.077 200.975 15
711.711 204.883 27
125.588 211.026 95
142.56 203.985 9
793.322 208.784 2
17.8517 209.889 2
749.116 206.28 24
482.129 217.83 27
549.745 210.68 52
535.529 223.697 26
628.873 212.89 3
517.574 214.365 66
767.664 215.562 11
492.86 218.149 117
118.439 223.103 53
129.354 220.177 10
195.95 215.599 148
200.038 218.226 19
154.022 222.494 107
595.576 217.811 39
502.432 218.281 19
517.048 226.925 36
94.7261 228.036 97
475.007 223.014 11
172.534 222.11 13
422.251 225.679 71
20.531 226.365 2
530.068 224.067 7
784.937 225.829 2
156.131 230.184 10
78.1505 239.487 66
225.802 229.548 80
547.735 231.369 52
593.544 234.26 77
65.1206 230.202 26
671.889 219.252 18
203.853 232.589 98
692.512 232.327 41
9.55836 233.444 1
98.959 235.059 21
223.54 248.528 63
232.891 234.298 1
20.0046 234.782 2
426.791 236.726 14
481.773 244.925 155
663.961 248.948 109
22.8792 241.769 1
347.129 243.87 9
576.632 244.24 21
175.88 244.893 130
405.735 243.439 7
87.0541 245.639 31
236.639 243.464 29
417.046 249.664 112
432.372 251.758 38
57.8453 255.016 96
66.1724 247.539 7
466.693 252.865 80
100.106 249.463 54
26.7181 251.498 4
42.5556 253.094 11
338.816 261.733 75
652.535 251.512 6
153.265 251.657 10
250.763 249.742 105
620.286 256.957 139
635.87 249.157 83
45.948 260.734 8
354.813 266.149 78
439.126 256.42 6
479.12 261.646 49
468.975 266.604 30
347.085 262.367 16
398.427 263.797 78
510.591 266.857 190
693.025 261.642 17
257.074 258.473 19
31.1555 264.141 23
448.086 261.393 59
512.763 261.667 5
619.304 264.415 16
365.312 271.894 30
95.5953 264.791 3
555.735 260.559 32
152.214 262.623 44
598.176 261.616 85
110.432 268.575 4
115.267 274.017 34
235.3 270.188 93
378.943 269.062 60
497.424 269.041 4
538.881 266.942 47
543.401 273.202 48
13.8498 270.839 2
36.8316 270.729 22
513.108 271.13 13
78.5139 269.584 33
342.881 277.619 75
398.003 270.268 26
153.257 277.498 37
616.643 273.783 18
69.4356 273.779 3
185.364 270.689 37
239.826 273.755 1
311.89 281.342 84
639.5 275.461 31
20.4806 276.156 1
268.692 269.921 101
383.49 274.084 26
238.049 281.543 32
581.428 274.451 72
711.74 278.854 9
559.741 284.417 79
224.256 281.082 24
309.277 287.516 38
488.713 280.303 44
736.267 287.249 21
351.04 282.251 6
178.88 286.826 38
246.86 285.801 28
283.842 284.029 74
390.617 290.574 73
625.948 281.425 53
595.804 281.243 15
194.046 284.605 44
148.481 293.737 56
208.436 286.81 1
642.975 287.663 33
192.728 296.986 101
261.221 287.144 8
583.488 288.14 22
704.642 291.47 13
375.054 287.411 40
468.401 288.684 30
601.6 289.697 51
792.889 290.442 3
310.568 288.214 39
502.886 287.712 28
296.23 292.393 52
405.105 289.54 33
528.706 293.9 28
166.065 290.433 16
177.379 291.687 16
308.346 295.437 3
560.047 294.398 41
188.028 293.611 4
616.509 292.225 46
729.373 294.363 58
631.503 303.171 58
18.3094 295.643 3
91.6772 292.956 30
469.819 297.068 6
214.001 302.189 91
256.827 297.699 17
552.655 305.993 68
565.808 297.676 4
112.345 303.807 65
151.437 302.932 23
370.371 300.793 16
461.195 303.144 5
500.581 301.505 37
478.51 298.043 29
729.367 302.375 3
539.032 307.497 10
133.285 299.902 24
272.294 303.494 64
325.87 300.651 151
309.018 304.779 30
395.427 306.042 28
27.9132 306.064 13
230.429 301.705 20
374.475 309.81 4
253.369 308.439 47
615.258 310.995 39
641.853 302.813 28
19.5356 307.888 1
226.829 317.832 64
490.211 307.354 11
281.888 308.834 2
159.033 309.623 20
413.08 314.827 41
540.438 312.389 46
234.74 316.564 38
266.995 309.34 13
553.324 307.325 10
581.415 309.191 73
107.042 317.879 29
187.414 309.67 19
477.718 308.457 12
129.987 312.427 43
248.002 317.95 17
583.821 322.21 38
595.27 314.972 20
728.993 312.49 7
43.9835 319.469 12
298.431 315.41 68
333.527 315.202 25
565.851 313.969 5
370.807 315.653 8
397.851 324.421 51
624 319.07 41
36.9688 317.099 1
552.802 320.077 19
124.265 321.654 35
422.437 319.383 19
714.467 318.078 51
599.61 319.688 5
432.934 321.497 6
745.095 321.94 7
571.148 333.294 65
239.784 323.68 1
440.993 320.484 26
503.219 319.229 29
83.7037 323.513 59
371.145 326.078 18
398.18 323.68 4
593.058 329.356 35
671.96 331.629 35
225.756 325.596 8
601.03 332.024 53
293.668 334.437 24
307.784 326.406 8
108.398 328.176 8
185.884 331.917 50
70.8285 335.109 7
134.278 328.658 7
213.367 328.104 29
309.393 339.124 19
378.875 331.848 16
646.763 334.787 62
98.9983 334.104 72
487.39 331.769 67
567.443 332.868 8
164.169 329.848 64
447.067 331.945 31
624.753 328.853 48
739.652 332.37 3
545.104 332.223 27
584.346 330.46 14
585.245 330.641 9
730.107 330.65 19
18.698 332.034 4
406.184 332.046 31
191.039 333.662 19
219.951 338.409 32
676.227 344.675 36
556.934 343.336 52
74.844 343.945 19
661.212 342.453 13
42.5362 338.504 27
116.097 343.211 4
210.009 347.261 18
499.037 348.772 78
784.661 342.794 1
91.4805 349.328 60
331.818 340.747 46
604.337 357.075 81
640.381 342.856 4
722.817 339.562 10
537.819 349.665 60
200.038 346.305 7
152.789 347.837 16
350.124 344.529 15
363.744 348.206 38
524.087 344.545 42
261.047 355.824 27
401.551 347.3 5
678.737 347.864 14
134.077 352.992 94
500.713 349.347 1
738.625 346.894 21
515.337 348.537 57
572.972 350.329 39
238.158 343.779 68
169.706 353.536 110
191.831 358.94 78
252.04 352.186 8
637.074 351.775 80
646.152 353.782 4
400.043 361.212 20
527.38 353.587 4
579.433 354.894 4
317.317 360.487 102
371.948 363.113 40
708.387 353.576 120
67.8419 356.622 16
780.91 357.787 3
625.08 365.026 13
128.536 359.11 1
214.695 358.769 60
463.964 363.402 192
677.158 360.044 77
740.859 361.24 5
788.456 359.581 1
21.2634 361.075 3
136.817 361.071 6
521.26 365.527 52
591.565 366.41 96
698.912 358.439 9
769.826 362.789 13
390.824 359.423 53
725.963 361.153 4
160.583 370.088 60
278.8 366.086 65
528.734 376.275 49
51.7539 364.951 17
83.8455 364.074 32
360.367 371.199 115
568.637 367.334 59
217.091 373.73 60
258.565 371.368 66
343.624 366.822 29
539.112 368.437 15
101.265 370.556 65
505.511 372.998 45
462.497 370.012 83
670.15 369.085 25
201.539 369.174 57
443.929 371.521 83
473.162 374.961 18
144.096 372.714 103
159.627 373.93 13
373.555 370.401 15
429.922 367.076 35
529.001 371.651 1
334.042 385.747 132
417.439 373.218 185
67.0908 375.777 79
86.618 378.054 33
398.106 371.412 49
196.219 386.579 50
219.369 382.381 64
235.904 372.412 21
371.681 393.927 99
321.739 374.675 111
772.264 375.293 6
102.086 377.074 2
148.698 370.036 9
171.672 376.25 31
297.953 373.929 63
327.881 375.052 10
331.431 376.837 1
162.829 378.446 1
278.998 376.265 55
280.669 390.225 67
80.6957 378.907 15
239.176 379.501 17
450.594 384.985 21
519.301 385.559 18
610.323 385.18 20
467.121 380.823 6
44.2582 382.393 71
407.127 381.181 18
308.117 388.041 22
425.178 384.528 5
149.078 386.238 17
784.831 386.468 2
144.229 386.628 1
776.604 386.284 5
790.734 387.186 1
449.785 387.907 28
254.709 393.483 11
127.104 389.431 87
678.283 387.232 50
755.152 389.4 50
768.046 397.43 7
40.9342 389.68 3
372.038 395.07 35
549.729 396.911 83
