954 8972
438.926 35.1848 18
480.448 69.0453 39
484.582 71.4125 1
479.923 84.2855 35
484.152 90.6948 1
457.051 92.9538 35
482.417 99.6212 25
157.837 102.987 43
479.293 112.472 35
454.899 118.913 8
479.198 123.996 53
481.734 134.361 19
478.532 154.545 54
336.773 178.486 151
336.162 183.817 9
479.978 188.498 145
178.283 193.245 134
485.289 198.682 4
358.785 198.703 69
239.094 218.199 56
182.352 221.784 83
304.636 229.293 51
335.598 221.574 104
262.591 222.657 67
288.485 221.96 68
215.07 234.685 75
473.905 244.198 62
477.591 251.973 10
354.503 260.251 26
389.529 257.389 95
194.961 266.049 67
415.775 274.471 109
473.423 289.535 61
164.757 290.709 90
467.953 299.004 12
208.568 299.672 52
467.944 313.357 77
474.18 312.694 1
385.483 311.646 32
472.679 322.794 23
397.53 329.448 8
467.583 340.098 72
430.112 363.2 72
176.639 360.834 145
468.185 360.542 39
271.902 365.579 56
235.097 370.922 54
172.626 363.966 9
429.133 373.081 39
289.249 373.903 59
431.429 379.148 22
193.965 371.815 34
213.336 378.739 88
432.832 386.09 11
216.436 382.1 1
222.106 383 3
238.247 388.602 30
259.508 395.55 71
272.462 398.655 3
308.7 410.669 32
322.719 419.745 1
346.548 423.976 7
349.253 428.971 2
381.968 438.007 39
397.887 441.534 41
465.645 446.686 24
403.273 447.265 2
411.253 450.034 2
421.242 450.128 15
467.121 452.924 1
445.456 452.867 10
426.587 454.768 7
433.753 457.141 6
449.594 462.849 11
466.066 467.331 5
457.095 465.425 2
562.463 3.85451 1
457.425 16.5097 1
424.691 25.6188 12
417.212 26.2335 8
409.68 27.0325 2
399.905 29.5542 3
388.711 31.5646 5
372.02 34.6361 4
429.983 43.0894 12
339.677 43.922 9
327.476 45.6343 2
316.008 48.8887 7
120.09 52.405 28
297.31 54.5508 10
288.867 56.2857 15
137.591 62.2181 13
232.496 66.7775 15
476.465 66.233 1
216.67 72.5349 38
208.125 72.0856 17
192.958 77.8875 34
179.002 82.1315 13
207.698 82.0891 13
400.438 80.8796 5
158.715 85.4352 31
412.973 84.6154 43
177.098 87.0099 13
191.229 86.6728 8
217.993 87.3762 4
202.944 89.6808 8
185.233 90.7203 8
408.107 94.8057 11
162.843 94.6941 8
372.905 91.7732 7
444.196 95.8611 8
439.346 99.5171 20
393.518 98.3225 30
400.615 98.9363 18
468.214 98.2099 2
432.095 106.429 8
162.51 104.608 1
430.967 105.969 1
464.419 111.146 62
385.454 110.462 8
471.443 112.201 2
450.891 123.429 3
465.795 128.225 5
415.902 128.38 1
369.191 130.878 12
470.278 130.417 2
461.095 131.658 4
359.859 132.468 11
406.308 142.371 62
464.792 134.119 2
156.417 137.233 1
454.963 143.208 27
