1841 22378
775.198 182.105 6
788.34 187.49 1
712.894 193.814 39
772.078 196.628 14
415.713 200.565 69
704.641 199.684 22
405.011 202.141 15
688.648 209.411 34
770.616 208.11 12
715.769 211.707 23
705.452 210.723 25
383.588 220.447 85
397.781 225.002 52
692.138 226.842 91
707.48 227.021 22
362.252 231.819 26
457.548 222.891 173
283.671 226.974 1
719.826 226.403 28
775.214 227.862 7
775.021 229.061 2
425.66 233.593 69
611.425 232.915 12
281.943 233.775 3
395.052 230.498 28
480.495 230.474 49
718.983 246.745 19
764.505 233.953 35
489.263 236.442 78
459.846 236.13 64
780.292 237.756 3
302.333 239.282 51
371.539 244.83 150
674.394 241.09 55
311.141 252.557 86
614.504 251.84 145
735.69 239.541 35
279.588 246.617 27
455.017 243.512 22
629.411 244.523 15
360.611 259.306 90
490.879 252.407 59
683.144 253.795 130
317.471 248.832 1
609.441 248.632 1
349.393 247.677 17
439.295 253.847 67
379.284 259.194 103
511.856 249.94 101
671.416 256.353 35
277.588 254.583 22
317.332 256.529 9
604.695 265.498 68
677.166 258.54 2
526.287 262.742 47
646.826 258.416 101
726.059 256.291 4
291.148 264.812 75
769.36 260.026 4
443.612 259.082 64
327.686 263.152 72
379.266 261.122 12
406.438 251.908 60
423.041 267.827 39
283.16 263.087 46
605.543 263.742 1
341.72 265.314 105
488.455 264.413 47
593.743 276.887 165
658.168 263.882 16
299.585 267.608 5
272.345 269.288 4
341.323 268.193 5
282.38 277.911 22
323.392 270 3
499.075 271.297 82
737.664 266.846 6
670.277 273.179 34
764.817 270.811 8
341.152 276.564 88
423.349 270.507 19
498.689 273.815 4
531.086 269.789 81
624.317 274.545 20
575.389 280.478 66
275.137 295.898 121
320.687 277.964 6
455.656 275.853 29
607.696 277.992 7
330.258 283.811 21
502.748 281.538 20
425.219 287.485 28
666.76 285.394 52
548.52 280.456 70
487.714 281.081 29
344.603 296.112 51
785.048 284.196 1
390.158 283.552 28
763.996 285.138 1
360.07 281.883 45
584.307 291.824 121
264.252 293.775 26
314.31 291.09 51
331.289 287.192 9
450.88 285.892 15
521.023 288.301 12
556.062 292.329 60
569.192 299.083 27
746.494 287.725 12
460.053 290.411 64
641.705 289.913 33
420.995 291.941 5
676.647 293.919 27
332.154 298.453 34
446.355 295.318 19
524.382 300.669 34
461.235 301.971 23
599.754 295.216 13
256.155 298.023 49
299.888 300.339 24
469.838 297.32 19
574.969 299.93 9
692.23 303.572 33
37.161 306.094 4
253.014 308.013 95
535.154 295.364 57
763.576 301.388 3
324.507 302.818 3
24.4575 315.166 11
131.34 305.282 4
154.76 307.841 25
180.849 302.327 48
190.243 312.941 102
207.232 303.127 4
710.343 300.864 15
97.7057 310.15 17
117.184 309.372 12
141.106 306.07 4
373.377 301.076 44
515.924 306.226 60
547.38 306.218 2
678.17 309.62 28
79.6388 310.806 19
170.182 305.231 16
610.209 306.681 2
67.127 306.998 18
198.03 305.931 11
403.727 303.453 39
490.862 312.247 164
221.186 306.383 106
472.554 308.813 7
501.762 316.711 33
565.116 311.093 70
46.7049 312.43 16
233.364 309.897 57
35.0376 308.235 8
59.9207 312.274 19
508.118 310.894 8
456.554 309.351 26
733.184 309.326 22
229.827 319.533 14
273.361 309.361 22
293.234 315.307 14
153.774 321.798 74
328.124 315.63 23
483.533 315.546 2
683.211 321.023 34
12.2198 316.674 3
208.467 314.727 30
389.954 313.669 14
646.122 318.843 21
356.258 322.844 17
371.042 320.036 23
159.683 327.281 55
574.831 321.401 6
784.46 321.113 1
407.764 318.334 44
596.745 321.511 5
506.608 322.875 1
236.805 324.313 8
735.777 321.906 22
335.017 329.968 29
556.032 335.178 54
573.949 324.655 1
647.782 324.806 1
219.127 330.683 31
481.065 326.844 24
193.813 329.416 34
247.533 328.012 9
268.516 336.681 55
575.413 332.684 7
692.463 326.117 43
153.411 328.753 1
131.904 328.356 100
368.906 330.902 24
203.988 338.652 20
483.034 331.473 4
657.656 331.07 3
110.627 333.072 33
6.8773 332.746 1
220.03 332.691 15
309.052 332.683 71
84.4273 329.325 75
261.573 333.865 1
356.212 330.363 37
413.574 339.43 17
59.9644 335.55 29
435.79 330.784 61
66.8924 333.856 21
92.9297 334.562 8
252.953 342.076 37
575.583 332.47 45
380.588 335.604 45
18.6461 337.695 8
603.404 337.482 54
8.03879 340.586 1
322.412 340.523 2
459.758 335.428 27
546.465 340.87 24
255.531 346.35 25
623.037 339.996 13
682.615 338.923 6
51.5504 343.298 22
183.847 338.8 28
488.06 353.031 40
52.5005 354.268 19
280.606 344.078 53
366.888 342.547 44
529.357 350.052 9
340.659 342.95 16
378.258 356.073 78
471.178 350.287 7
43.2922 349.263 28
108.567 345.688 53
23.5582 349.083 3
682.719 351.657 14
780.348 345.623 4
234.872 349.457 17
417.414 352.865 95
41.3459 351.448 1
506.184 346.604 90
519.863 350.236 8
649.942 359.209 52
30.3762 349.14 20
97.8158 353.256 25
220.456 351.676 115
456.926 353.263 97
768.711 355.818 16
194.3 351.378 17
252.721 354.029 35
379.324 353.337 1
250.174 348.946 45
207.889 355.069 14
585.607 359.229 77
46.1257 357.518 3
168.08 352.913 37
171.125 357.019 5
677.201 359.64 30
154.185 357.764 33
181.735 353.288 33
359.48 358.648 4
484.782 359.28 50
94.2252 355.213 12
186.528 358.307 26
259.736 363.33 23
736.549 358.927 20
105.242 360.441 11
120.798 359.284 36
142.703 360.016 29
203.586 366.477 84
527.542 366.8 143
556.155 359.614 37
8.96143 362.268 1
141.416 362.191 1
418.813 366.563 25
641.636 365.386 79
39.6077 361.203 22
100.185 363.033 1
130.939 358.999 13
234.987 367.638 66
243.93 361.344 22
437.575 366.894 78
256.106 364.335 3
348.284 366.795 38
617.05 362.676 83
764.481 361.251 3
76.5969 366.244 46
91.0531 365.775 1
489.901 370.682 39
531.687 365.42 1
568.032 368.759 91
748.446 362.261 31
772.417 366.035 10
373.788 375.173 71
735.932 372.267 43
12.6067 368.089 1
721.698 369.962 46
79.1208 368.681 4
307.221 366.725 105
651.46 367.031 13
704.703 366.246 82
80.1116 370.155 1
474.288 368.397 35
610.508 379.065 128
663.337 374.758 57
683.481 366.812 28
64.2926 370.101 16
388.328 377.906 88
419.283 371.554 83
436.242 373.396 25
276.063 370.637 139
642.548 387.962 62
264.837 372.803 3
404.817 367.436 11
489.799 384.763 134
502.702 375.952 7
632.735 371.811 5
351.537 378.459 134
373.046 373.581 11
591.786 375.256 116
601.34 371.827 31
458.301 379.579 113
570.801 374.642 7
600.715 382.31 12
422.158 378.118 30
445.806 373.255 18
547.266 372.456 57
724.752 376.776 16
761.712 376.542 3
542.928 382.665 29
55.0803 378.654 25
147.014 382.543 68
779.311 377.809 2
360.094 380.533 20
525.644 377.623 16
689.522 384.245 54
280.801 387.822 83
302.619 383.19 49
714.605 381.618 10
182.956 383.294 17
579.133 386.703 38
8.82599 383.922 1
101.997 383.085 8
132.586 384.287 40
206.718 383.01 34
428.755 384.447 11
313.431 390.995 113
329.293 391.319 77
749.169 383.214 23
34.4218 389.768 19
59.731 386.852 20
524.835 386.744 4
349.096 393.35 146
409.401 384.86 55
314.128 389.801 7
358.541 390.396 8
15.6646 390.596 3
334.962 400.497 28
653.559 393.662 70
331.047 391.326 25
