2472 33525
458.618 65.1278 1
460.509 87.3526 94
415.712 100.192 67
467.494 105.265 96
441.269 104.641 71
468.065 103.175 9
457.449 112.007 47
439.076 120.887 43
470.903 119.594 75
505.409 119.044 145
447.916 116.499 4
471.804 124.243 15
410.536 122.013 81
440.768 121.719 4
460.29 124.15 13
406.774 126.071 2
448.305 126.441 7
490.025 137.903 125
500.013 137.506 1
507.545 138.397 2
579.605 136.717 40
63.5706 137.911 21
463.255 149.167 85
611.594 144.845 106
603.77 142.805 84
83.6681 144.704 68
602.713 146.409 1
502.698 146.081 32
574.384 150.807 10
216.111 157.146 104
437.574 141.184 30
625.436 148.412 41
407.661 153.186 44
484.336 160.037 162
367.922 154.469 7
393.771 159.474 105
476.883 154.739 1
99.1226 155.688 29
318.783 156.26 51
329.059 155.112 8
352.705 154.709 33
70.153 156.714 71
204.454 156.752 4
468.279 163.1 62
57.1814 166.411 54
283.059 158.07 3
52.0237 160.277 1
275.345 159.733 1
268.436 160.822 1
423.313 157.618 57
460.481 165.311 83
594.928 160.869 84
577.872 162.746 43
51.3121 165.246 1
237.699 164.998 15
562.669 167.447 13
678.91 167.261 59
643.798 165.005 35
652.362 167.009 20
661.349 165.678 16
731.331 166.681 2
387.465 165.137 8
486.112 172.155 13
632.437 174.266 102
712.752 165.13 25
706.541 173.777 10
355.203 168.884 22
468.493 165.729 13
544.066 170.52 66
694.931 168.785 7
611.022 173.151 44
685.616 172.228 18
76.1705 179.299 39
56.9521 178.56 33
530.19 177.19 63
507.535 183.532 101
711.68 174.586 19
718.32 173.304 4
724.68 177.294 11
121.287 179.174 82
132.375 177.692 18
694.053 178.623 51
20.1168 179.012 7
27.639 179.051 7
581.778 188.079 87
11.9659 180.845 2
742.247 180.645 1
91.8725 181.473 13
196.017 179.527 93
306.421 179.423 57
186.825 182.256 1
467.946 181.472 64
483.059 190.591 97
600.588 179.287 22
335.853 178.719 77
419.32 182.262 68
677.879 187.814 85
694.717 182.851 1
239.455 188.314 132
50.2264 190.912 46
518.655 189.409 64
288.301 187.324 6
486.63 189.905 16
392.055 192.654 90
70.3859 188.872 38
249.502 187.159 31
452.184 194.962 157
678.346 189.481 19
716.321 192.444 11
199.84 189.018 45
302.987 200.189 88
321.948 196.497 80
622.091 193.62 83
538.362 191.739 68
177.913 193.432 58
314.761 192.052 9
430.58 204.929 79
442.553 193.308 1
377.695 199.015 100
512.228 203.852 71
356.326 197.467 103
560.269 188.751 91
601.932 200.805 117
291.214 195.157 18
486.59 194.698 5
549.361 199.885 70
201.592 196.749 2
281.534 196.239 118
571.23 197.841 60
700.571 202.669 35
62.5682 202.314 38
78.5379 199.833 27
474.377 205.262 119
721.668 202.206 5
187.815 205.763 19
490.24 204.046 33
695.733 198.172 13
366.71 197.703 6
737.657 199.661 2
106.923 205.559 83
418.813 206.012 126
660.897 199.338 81
670.323 199.441 30
432.176 201.37 4
645.451 196.334 35
652.238 200.473 4
91.5883 203.977 38
227.689 207.9 127
364.012 205.659 7
401.689 200.761 12
619.397 210.565 62
171.15 203.901 31
634.043 196.957 35
142.682 204.826 135
241.49 211.102 76
197.626 206.192 33
735.304 204.667 1
284.645 215.546 66
567.064 206.594 10
273.074 206.315 23
44.6396 207.868 7
52.4389 215.37 81
77.1726 215.31 39
307.323 216.061 24
589.786 210.38 19
219.014 217.424 204
258.447 204.612 56
620.109 216.368 9
196.01 215.457 8
228.827 207.199 7
352.32 222.379 101
394.118 216.296 50
414.04 214.705 100
445.665 215.098 108
459.937 211.497 35
172.052 219.99 93
565.493 219.138 95
161.433 216.348 23
642.398 218.192 161
129.698 213.504 60
292.606 217.67 21
285.036 228.283 65
299.553 214.572 1
432.914 225.868 48
448.523 216.039 8
207.253 219.06 15
213.292 235.082 44
322.068 217.218 30
624.946 221.285 58
77.2903 217.489 2
93.8682 223.457 73
663.342 222.99 113
681.81 213.353 43
736.024 217.321 2
196.44 221.109 19
455.127 218.54 10
621.814 212.806 22
727.358 218.118 16
43.9236 220.114 14
250.794 217.792 14
275.08 219.575 16
283.892 219.231 3
348.362 216.242 19
712.167 226.165 26
267.185 219.944 1
316.587 227.058 82
391.724 224.418 41
706.336 219.594 13
182.447 217.346 24
68.7606 225.537 80
65.1166 222.384 1
77.7161 224.752 36
521.706 217.855 42
156.763 228.422 21
465.797 235.958 122
359.918 238.836 130
456.638 224.289 3
583.083 232.507 104
392.132 226.309 1
406.226 225.252 8
416.086 231.344 44
442.599 225.883 3
589.693 229.275 14
251.673 231.568 123
437.46 241.169 67
437.299 234.562 4
447.987 231.377 17
469.289 229.757 2
521.544 236.807 10
620.463 234.4 11
693.95 227.534 64
492.943 237.083 79
542.032 230.456 63
188.638 235.213 82
495.813 239.569 31
688.305 232.924 1
718.17 233.084 25
740.881 233.465 1
239.542 237.689 25
703.553 234.078 3
350.328 235.233 1
635.499 240.484 21
449.817 234.37 18
508.698 237.622 40
522.488 239.16 7
262.198 241.353 25
595.721 240.147 9
175.046 241.235 10
606.632 232.372 65
282.107 253.248 82
351.926 247.352 34
430.341 240.93 12
632.73 250.658 45
591.813 243.281 1
226.15 246.688 56
619.056 250.837 55
644.19 241.642 12
196.605 247.31 84
474.795 250.681 125
208.772 254.032 43
317.582 244.943 92
510.488 260.587 107
671.875 239.414 51
242.642 253.908 99
289.223 242.825 27
497.072 253.093 14
577.559 256.568 141
270.826 242.732 24
271.57 245.292 6
589.747 261.273 31
218.564 259.818 49
520.22 248.856 58
572.807 251.698 2
228.886 251.677 33
233.566 252.608 1
429.03 255.845 73
673.554 252.638 19
306.291 251.15 47
380.034 253.593 15
503.181 253.222 1
468.95 253.712 2
546.47 261.049 116
555.916 254.511 6
475.68 255.818 1
613.569 257.44 11
181.506 256.655 46
195.483 259.33 20
567.416 266.03 31
275.806 258.032 3
328.054 257.357 45
687.626 260.999 28
742.822 259.88 1
420.865 262.794 67
589.921 260.822 5
275.193 267.276 40
547.118 270.507 15
608.491 267.219 47
626.037 260.282 60
601.942 260.663 11
394.853 270.785 50
393.861 272.166 60
462.224 263.36 30
291.165 261.71 26
304.354 264.153 39
527.913 264.305 30
420.973 266.691 1
569.952 270.944 53
59.3871 273.069 29
587.574 268.967 23
337.5 271.783 47
727.016 269.147 8
321.824 272.444 14
493.99 275.363 115
568.374 267.867 15
28.9227 279.899 18
363.763 273.863 60
546.016 270.403 21
393.965 277.385 12
716.156 271.615 19
736.977 273.51 2
521.126 273.584 37
72.8861 274.683 47
292.555 290.892 106
