1095 15152
421.075 20.4167 22
266.912 13.4137 7
155.483 16.1717 15
23.0166 14.8326 6
7.40044 15.0858 1
421.762 15.4919 3
35.8723 16.4249 31
425.818 25.9417 9
403.493 26.1787 32
503.614 20.4899 4
385.097 27.2317 31
255.987 30.7302 36
156.117 32.2005 21
144.156 40.3188 47
275.385 63.3428 8
33.259 61.7081 5
281.849 64.4311 22
280.398 86.0739 237
275.726 91.3362 38
203.478 87.6625 204
227.853 94.1558 232
237.047 88.5136 11
161.402 98.606 340
203.729 87.7524 1
156.32 93.0904 5
268.582 93.2182 6
245.649 100.901 71
270.762 96.0126 2
155.93 100.757 10
208.914 97.1752 2
241.557 112.918 109
186.444 113.774 147
162.609 114.137 46
254.181 109.954 11
172.323 107.517 35
201.231 112.943 69
219.692 115.752 71
264.731 118.307 92
203.654 118.266 11
375.45 123.751 153
195.955 122.19 5
180.348 128.514 21
192.815 123.634 10
262.917 120.586 1
401.769 121.464 90
250.7 122.175 8
165.667 126.412 17
298.099 122.157 78
404.55 143.786 46
207.093 149.146 177
361.586 139.327 78
295.069 139.7 57
37.8828 159.927 104
116.431 145.002 195
136.881 164.95 161
106.122 153.909 3
139.622 149.345 40
40.9438 155.147 8
141.521 170.21 70
195.174 165.684 47
281.377 170.049 174
220.308 169.737 65
388.328 175.535 113
263.865 192.634 81
392.811 176.033 4
117.664 182.227 82
141.927 201.128 259
263.098 195.686 148
386.909 192.138 58
126.832 199.284 14
394.52 194.388 43
93.1971 205.842 34
265.244 206.047 3
171.07 200.95 54
275.741 207.618 14
390.817 215.591 33
286.512 213.521 4
152.124 214.949 64
134.1 215.2 81
141.224 223.618 20
309.546 222.588 27
147.782 242.257 124
489.408 216.497 43
385.909 217.675 33
143.754 223.641 1
166.704 228.34 217
182.04 234.92 58
41.1612 229.156 79
32.1949 233.897 22
40.5616 229.507 1
146.888 249.102 64
151.32 230.081 1
337.811 239.254 64
39.4994 244.804 14
38.9637 245.408 5
152.682 257.409 166
57.5583 249.657 150
254.283 253.728 88
57.8755 245.75 1
180.456 252.428 105
64.0722 249.568 4
170.229 249.598 2
143.314 250.033 1
12.441 249.522 3
165.444 252.858 2
202.073 259.446 171
344.268 255.65 57
212.351 268.595 275
254.689 259.727 12
358.612 258.96 58
153.751 263.828 11
158.158 259.482 7
182.77 273.987 205
186.238 258.272 1
169.166 262.321 12
200.676 263.009 30
257.83 264.668 12
160.691 273.14 71
346.576 280.225 108
73.1017 264.355 69
171.255 269.709 25
225.868 276.063 54
216.087 263.53 1
163.231 265.16 6
365.314 265.527 13
172.275 269.451 1
69.5552 274.457 13
73.9177 271.148 3
235.921 276.052 190
252.873 273.919 4
370.958 269.242 28
161.971 273.781 23
152.352 270.649 5
191.579 272.198 7
347.695 290.711 71
184.647 291.406 44
170.977 278.459 5
204.833 288.237 63
189.193 286.701 37
179.704 290.293 12
250.803 282.676 38
78.6688 283.077 105
344.199 286.937 9
238.704 286.801 3
189.317 287.06 14
65.531 297.063 16
373.265 289.014 50
50.2432 293.308 55
352.861 295.373 18
86.2519 295.903 18
348.079 299.029 5
182.424 296.523 3
200.595 299.859 31
85.3982 302.203 18
376.934 301.596 11
246.431 299.316 36
191.814 307.586 7
349.594 304.414 2
209.189 304.556 9
69.1402 308.281 19
315.04 308.528 13
346.39 310.731 10
190.333 316.364 6
224.703 313.337 4
384.364 309.303 18
200.324 315.862 7
352.139 313.454 3
196.686 313.484 1
216.775 315.488 2
363.216 315.221 4
212.197 318.111 1
341.909 318.648 1
472.066 11.6508 4
451.639 5.09824 1
456.854 5.31561 2
436.658 5.71209 4
354.651 7.68206 2
396.039 7.77852 2
401.254 7.40117 1
261.517 9.34331 1
320.682 9.65116 2
278.062 10.9641 1
295.372 10.871 2
246.756 12.7712 1
257.772 13.3766 2
168.926 15.0829 2
176.273 14.551 4
125.214 15.9582 4
133.039 16.1519 6
154.786 16.2233 2
77.9963 16.9178 8
48.0299 17.5583 1
53.4338 17.5503 5
261.787 19.6853 7
366.64 17.5592 2
3.01054 18.2514 2
438.553 21.0437 26
184.419 21.8158 3
471.596 22.5985 18
260.821 28.1757 7
239.064 24.2182 9
457.452 29.073 8
370.974 25.3903 21
170.176 30.5877 6
163.419 31.3181 1
266.324 39.1001 34
365.852 28.7338 24
453.406 37.0311 16
373.812 36.2408 1
431.567 37.7184 6
442.766 40.3992 15
427.509 46.9783 30
259.962 45.5496 23
133.819 49.5525 18
369.234 54.5594 8
434.537 59.1154 52
430.171 56.813 2
125.242 64.8906 35
463.513 61.8807 32
443.053 67.4016 6
132.669 66.1272 6
480.181 67.3015 5
39.9527 72.069 1
507.835 72.5418 2
475.83 77.0425 3
139.497 75.4408 5
126.725 86.5641 143
444.614 73.257 30
440.822 80.1609 7
471.643 86.3578 11
425.812 81.2276 22
461.211 88.2066 33
475.796 85.3388 1
137.129 87.6366 51
220.358 88.614 1
254.092 85.7161 13
446.235 92.3777 49
114.471 88.3157 47
123.015 103.979 95
237.954 94.1758 1
422.044 88.7322 22
505.556 94.4568 2
183.592 96.138 2
278.265 96.1631 1
115.4 102.004 43
474.907 97.0547 30
201.18 98.7754 25
242.675 100.558 3
160.552 102.836 1
465.526 100.099 13
234.295 113.507 46
259.073 106.027 11
284.328 105.692 58
463.032 107.337 20
137.165 108.007 7
239.76 109.928 2
167.145 111.459 6
277.539 113.331 10
388.278 113.022 108
492.748 110.799 13
233.994 111.932 1
499.537 112.217 1
176.573 112.769 4
388.786 117.83 6
276.425 113.473 3
365.038 108.608 28
172.074 116.153 1
388.731 117.434 1
411.644 109.002 18
239.644 119.262 4
280.338 119.047 3
394.752 119.553 2
124.293 127.356 126
221.852 125.084 11
488.267 123.162 19
215.249 123.68 2
385.557 124.262 12
138.503 119.753 27
280.541 130.33 16
123.802 125.592 1
130.009 125.856 3
388.15 128.021 2
246.143 136.145 100
502.065 127.277 8
104.997 127.762 6
305.605 136.332 19
133.274 133.583 35
280.656 130.86 15
492.899 135.42 22
227.777 139.964 12
492.284 134.852 1
116.096 137.576 4
132.782 139.441 17
395.909 141.116 10
136.467 141.425 2
190.303 144.442 81
279.509 145.724 8
189.518 139.515 39
227.558 147.222 89
403.649 148.576 6
490.031 146.819 15
144.926 149.077 24
241.094 149.224 10
210.769 148.242 2
362.051 155.731 112
122.366 148.2 4
191.46 149.027 1
286.37 153.848 15
402.64 149.129 1
307.218 152.037 9
275.628 152.515 7
231.705 153.07 1
222.293 153.833 18
292.933 157.101 15
401.857 158.736 14
495.103 162.413 9
228.368 163.041 4
442.943 157.976 13
444.877 166.61 28
206.288 164.488 22
252.754 162.703 44
33.4936 166.256 19
44.7061 167.78 9
287.875 163.457 2
150.136 162.747 7
182.037 167.857 50
448.577 176.529 15
2.72082 165.389 2
379.94 167.758 83
362.027 174.277 22
375.946 167.901 1
448.937 168.862 1
385.548 176.757 5
223.794 176.572 8
122.888 172.723 8
251.671 175.622 5
449.586 177.447 6
438.137 175.499 13
221.692 183.713 9
137.216 187.935 7
506.775 187.191 2
153.113 202.976 26
394.433 194.352 2
141.977 199.088 23
108.887 196.593 5
368.054 195.144 92
149.93 199.343 3
221.128 197.158 63
256.941 201.639 2
135.127 201.673 3
437.224 199.438 60
161.062 208.568 17
449.957 202.356 11
151.507 204.03 1
116.588 207.4 46
240.514 207.886 8
136.09 207.067 1
501.374 209.319 3
205.35 200.557 49
362.758 210.687 31
449.119 211.728 1
116.261 214.158 23
391.273 217.964 8
253.477 217.34 17
171.447 217.81 8
103.916 217.091 3
155.253 219.761 1
259.087 222.919 4
454.143 220.284 6
165.637 221.853 3
179.592 221.782 10
313.154 223.814 6
87.584 228.748 12
243.227 235.527 91
453.53 228.444 2
249.006 229.477 2
172.141 234.828 6
441.449 234.019 14
453.294 239.667 40
259.867 233.815 1
76.677 233.59 1
244.666 233.49 2
37.3778 234.083 2
386.304 233.517 5
177.138 234.556 4
148.411 235.778 4
143.01 238.031 1
453.295 238.243 1
169.221 243.48 12
175.232 239.994 3
187.955 241.613 13
193.424 241.029 3
218.349 238.844 56
34.8294 244.342 2
440.751 244.35 3
385.296 245.146 37
244.183 245.73 9
164.485 247.229 1
200.072 248.447 5
45.5933 250.131 1
160.196 250.847 4
15.4605 250.701 1
21.1206 250.607 4
382.34 250.482 1
347.883 251.488 1
66.3546 253.464 1
228.781 252.675 1
368.292 252.737 2
206.945 254.169 2
243.102 257.752 4
169.32 257.899 2
210.547 258.365 2
42.6252 267.571 61
449.004 263.428 12
44.8807 262.82 6
236.23 263.569 3
16.9403 269.407 9
227.347 266.62 6
378.603 265.924 22
53.1713 271.939 67
192.511 267.45 1
201.404 270.421 10
37.9455 268.991 2
43.544 270.182 1
452.878 270.958 5
345.381 270.727 4
10.3512 271.026 1
210.19 273.759 3
48.4558 272.71 1
27.8489 273.802 21
203.515 273.97 1
53.1638 279.75 6
444.676 276.976 6
249.739 278.802 1
202.604 279.77 2
256.927 283.032 3
63.6496 280.594 11
197.909 283.796 4
81.7961 280.861 2
433.381 280.243 9
217.967 285.867 13
229.033 282.963 3
215.119 283.526 1
4.86051 284.864 1
351.297 285.529 1
494.743 283.329 14
54.1921 286.252 8
21.3822 287.01 7
46.0397 285.362 3
456.65 285.267 10
17.608 290.649 3
196.27 288.607 1
205.311 288.951 2
227.02 290.364 13
209.561 294.125 5
253.81 294.898 6
11.8918 291.743 1
449.309 287.604 16
37.078 293.009 25
208.974 295.785 3
447.916 295.824 1
239.033 296.724 3
11.6773 297.579 1
54.6856 298.224 7
59.244 304.54 6
188.345 300.645 19
221.732 304.76 15
45.3862 304.389 3
234.178 301.535 15
66.6923 302.692 4
16.8645 302.201 6
34.8557 307.109 8
23.2994 307.604 3
58.6855 304.149 3
452.33 304.008 2
260.775 305.541 7
279.253 304.677 14
237.574 305.272 1
487.786 305.508 5
501.663 305.87 4
358.43 306.109 4
29.0755 307.014 1
295.156 307.714 7
379.419 306.991 2
68.5576 307.652 1
322.66 308.057 16
449.105 307.974 3
506.61 308.272 1
63.5063 308.638 2
90.3923 309.574 1
372.578 309.671 2
230.312 310.077 3
269.341 310.837 9
31.9972 320.275 4
233.776 314.728 1
243.993 314.941 2
452.344 314.957 1
279.592 315.494 1
290.513 316.207 1
23.0942 316.506 2
28.9201 316.374 2
50.5637 316.475 1
66.5312 316.939 3
249.64 316.766 1
78.9583 317.483 1
274.021 317.521 1
300.12 317.033 1
73.8678 317.757 1
90.5051 318.952 1
83.981 319.875 1
482.039 319.901 1
342.535 8.16062 2
359.676 8.15412 2
331.077 9.13401 1
367.628 10.7415 2
496.049 10.9708 2
211.705 14.486 7
196.045 14.9589 3
468.146 14.8465 1
445.503 29.0547 12
368.873 24.1317 4
415.994 26.7755 17
483.877 34.8994 12
438.039 42.3859 11
477.251 41.6908 13
272.586 46.4811 16
441.984 49.6075 7
448.703 66.0217 2
127.387 85.9393 10
498.186 95.0308 7
446.371 105.051 33
217.73 101.732 13
460.808 98.7271 3
411.462 106.951 3
505.503 117.005 2
368.609 122.475 6
366.4 132.377 4
302.721 137.075 3
457.633 132.644 54
243.675 139.266 2
379.154 149.542 15
367.003 153.787 2
472.598 175.893 53
376.435 178.696 35
229.633 185.605 13
482.851 188.349 1
367.69 193.332 21
373.965 193.126 2
483.867 195.302 22
368.513 199.672 4
199.721 208.72 14
381.856 210.19 4
492.11 215.733 3
96.0885 220.855 23
370.695 235.3 52
468.022 238.284 7
338.445 239.086 4
500.123 243.279 4
502.3 248.898 2
494.323 259.269 1
371.842 265.914 6
448.899 265.336 3
368.033 276.882 12
46.128 278.915 2
35.8354 283.208 16
448.606 286.869 2
422.736 287.977 10
255.001 298.044 1
477.384 312.681 2
490.648 11.7754 1
100.564 12.9353 9
15.8366 15.1123 1
170.929 24.2 3
503.487 28.779 1
437.842 42.9562 4
265.62 45.202 3
505.926 83.0865 1
243.884 82.3816 12
506.885 88.6496 1
482.268 88.8161 21
376.668 107.562 13
299.093 116.009 1
125.366 115.847 12
221.836 138.404 32
5.57294 158.218 1
211.416 155.409 8
200.982 160.272 4
233.92 168.271 25
461.055 161.209 34
371.125 178.605 14
467.838 177.955 3
472.965 185.384 9
362.785 197.731 3
317.104 228.863 8
335.648 243.434 1
496.129 249.53 2
376.806 256.106 12
506.124 265.555 1
462.896 273.44 19
86.9698 314.047 1
420.549 8.4385 2
144.433 16.5394 9
27.1232 20.3785 1
237.788 25.9244 2
379.043 30.4385 1
369.152 44.702 4
284.384 64.0067 2
507.455 63.9183 1
423.658 82.3005 18
192.832 90.9954 7
486.792 98.5189 7
437.367 94.423 8
154.957 103.596 1
253.788 111.692 1
209.778 110.528 5
444.232 112.964 2
233.36 119.444 3
139.46 118.769 13
428.457 124.375 21
458.901 129.392 3
445.764 131.696 1
429.649 142.656 1
356.148 144.592 6
255.489 150.456 6
390.334 149.439 9
436.844 149.956 34
464.732 154.662 8
119.288 160.488 8
117.477 164.018 3
436.65 173.459 21
129.466 174.591 5
155.294 174.504 1
399.804 181.578 19
388.028 182.888 3
414.474 189.395 1
388.714 191.459 1
241.968 200.174 7
259.882 205.709 1
370.874 215.214 4
99.9781 226.567 3
494.156 230.185 6
321.67 230.469 10
219.133 238.506 16
23.4361 245.064 3
467.674 247.272 1
71.3907 256.997 2
9.75051 260.008 1
469.799 268.961 3
14.9576 281.415 1
507.743 281.307 1
402.411 293.451 3
258.157 314.655 1
301.918 103.665 21
144.983 148.617 2
182.436 205.232 15
228.681 211.137 4
487.207 259.51 14
61.7016 11.8302 1
435.047 30.918 13
490.911 43.7367 6
432.457 51.1429 2
121.104 66.5753 3
492.095 89.5144 6
383.331 106.546 5
115.504 112.406 4
361.448 160.779 6
459.18 155.946 2
435.546 195.226 3
207.948 200.174 5
479.949 201.318 13
50.6718 222.687 3
363.765 227.35 7
236.626 247.316 2
493.161 238.952 6
364.003 258.698 2
330.015 15.3851 1
354.612 14.7346 1
250.759 19.1254 2
277.705 18.7227 1
165.872 21.6568 1
431.722 19.9396 1
50.3839 23.9626 1
137.85 22.942 1
22.8711 25.538 1
473.067 30.9217 1
173.626 34.8849 1
390.449 35.3405 1
142.142 56.3907 1
294.283 83.0911 2
231.396 95.9078 2
483.898 101.301 1
220.666 113.087 2
156.267 121.835 3
236.101 124.536 2
413.866 133.798 1
463.045 134.882 1
308.681 138.319 3
248.914 141.701 3
500.338 141.2 1
409.612 147.222 1
265.478 152.841 2
26.3286 175.042 1
51.6226 173.514 1
189.638 175.237 1
141.402 177.293 1
287.85 176.362 2
478.78 176.455 1
402.924 187.447 7
121.327 193.852 7
271.387 197.091 6
267.164 215.151 6
60.2185 231.744 2
319.815 238.54 5
251.945 241.954 3
150.657 241.307 2
82.7964 267.112 1
383.166 283.84 1
476.495 287.447 1
94.7852 293.246 1
260.653 294.119 2
409.877 297.68 1
377.285 17.0411 5
272.829 65.6219 2
461.77 115.662 3
492.145 194.422 1
200.802 79.5923 2
237.342 80.8636 1
103.927 145.623 3
445.099 151.161 4
214.019 196.006 3
357.907 244.16 1
143.643 263.111 2
345.978 25.736 1
287.362 31.4097 2
63.1332 32.0149 1
125.062 32.451 1
407.675 46.0245 1
477.634 50.6642 5
469.398 132.129 2
418.222 157.127 1
288.248 197.186 1
295.86 238.144 2
461.029 238.581 2
73.2339 238.569 1
318.805 245.003 1
391.692 285.363 2
272.418 284.391 1
291.64 35.1241 1
417.469 49.3395 1
389.786 138.973 2
219.343 77.5815 3
205.835 179.691 27
88.3218 52.7951 1
330.406 62.5313 1
320.719 195.795 1
106.436 247.327 1
309.109 266.461 1
354.334 79.6303 2
99.8376 185.618 1
109.119 190.804 1
151.184 22.4907 11
472.523 59.4186 3
148.224 90.0341 4
175.696 94.7652 3
169.345 128.611 1
273.906 160.045 2
212.256 168.886 8
247.615 202.294 6
234.083 210.687 2
372.386 240.839 2
453.3 251.356 2
456.705 281.21 3
428.989 32.1571 1
371.188 163.842 5
170.702 196.632 4
480.86 234.758 17
487.611 27.8878 3
459.194 70.1634 1
190.484 83.4974 2
396.757 162.483 1
197.738 199.61 6
462.683 76.0695 5
369.303 86.2331 10
125.185 131.878 2
199.09 177.691 9
258.747 272.438 6
359.35 273.926 9
383.252 133.257 1
364.124 219.575 1
220.524 118.447 3
408.884 152.549 1
51.7664 179.115 1
396.852 223.477 1
358.184 180.802 6
378.455 292.576 1
205.754 247.495 2
204.524 307.343 2
451.468 49.1862 3
485.133 131.647 8
447.451 95.5508 6
489.773 140.851 4
442.186 106.858 14
450.109 119.114 11
452.156 130.11 2
458.562 150.533 1
