5069 33525
458.618 65.1278 1
458.554 87.0224 29
416.971 98.1542 33
475.901 100.745 9
412.599 100.97 1
419.949 101.759 2
441.162 102.837 27
475.147 103.518 8
467.007 105.385 25
440.519 112.936 14
468.638 112.617 1
500.435 112.604 24
448.412 115.937 5
473.758 122.744 27
403.637 118.933 9
439.565 121.165 33
459.237 123.973 33
408.955 123.232 12
448.312 125.608 8
483.584 131.003 15
498.279 136.531 18
507.545 138.397 1
582.782 136.991 22
60.4538 141.683 8
461.697 144.592 18
616.241 143.566 22
604.277 140.596 103
77.7241 143.395 15
602.713 146.409 4
492.192 147.626 17
573.544 147.549 7
211.736 146.574 9
439.354 147.719 5
625.436 148.412 24
405.089 153.357 14
477.402 149.177 74
367.007 154.961 6
396.26 153.805 7
476.883 154.739 1
94.2635 154.042 9
317.922 155.504 25
329.059 155.112 6
352.705 154.709 30
70.0777 155.066 32
204.454 156.752 6
471.887 156.551 3
58.3519 156.146 12
282.882 158.73 2
51.3291 162.897 5
275.345 159.733 1
268.436 160.822 1
421.971 160.15 20
457.849 157.005 46
417.864 161.553 1
596.43 161.144 29
578.479 163.053 17
51.3121 165.246 4
241.783 164.246 3
560.359 164.411 3
676.947 168.051 13
643.029 165.894 23
652.317 166.088 4
660.502 165.142 18
731.331 166.681 2
388.173 164.264 11
485.914 167.027 33
631.306 166.177 15
712.752 165.13 20
705.673 166.992 6
356.662 167.76 4
470.261 169.195 10
540.54 167.329 20
694.931 168.785 5
612.508 171.643 16
679.592 170.774 6
75.133 175.594 30
49.5043 176.13 7
531.09 175.375 23
507.554 182.058 32
708.479 174.133 14
719.398 176.546 6
719.659 174.806 6
120.769 177.513 23
130.704 177.097 35
133.194 177.937 3
692.548 177.968 25
19.5805 178.927 5
27.639 179.051 7
584.734 181.35 6
11.9659 180.845 2
742.247 180.645 1
88.6042 181.6 13
191.819 180.342 29
306.35 179.317 21
188.027 180.743 6
468.812 182.561 48
481.652 183.074 36
601.008 182.278 4
337.724 182.704 12
420.351 184.754 26
685.693 183.152 2
694.717 182.851 1
227.623 184.464 5
49.0941 189.081 21
516.322 186.522 33
288.301 187.324 6
484.194 189.605 41
388.908 187.423 7
63.5275 188.242 7
249.502 187.159 44
448.881 185.931 8
676.605 187.501 41
719.138 189.195 2
201.335 188.38 24
306.879 190.279 5
324.534 188.422 6
624.907 188.758 32
528.648 190.84 19
179.675 193.865 13
314.761 192.052 16
438.555 191.321 28
443.591 191.711 13
373.141 194.198 16
510.014 196.228 40
359.91 193.412 7
560.58 194.95 12
603.121 195.259 34
301.319 197.553 22
486.59 194.698 16
539.844 190.921 30
201.592 196.749 1
284.304 198.519 29
574.389 198.538 21
704.053 195.464 6
65.3303 195.938 3
77.5693 198.88 20
473.848 197.217 5
719.629 197.239 1
180.379 196.652 16
494.203 198.883 27
693.082 196.101 11
366.71 197.703 23
737.657 199.661 2
110.748 200.525 1
416.941 198.739 40
660.691 199.33 41
671.97 199.532 12
286.704 201.081 4
435.053 200.32 23
641.59 199.958 12
651.269 199.862 23
83.2088 201.14 10
226.281 202.058 6
354.363 198.703 30
398.419 200.293 25
614.424 199.861 27
173.046 203.112 21
632.436 203.502 5
146.074 202.576 22
238.534 203.91 25
362.857 202.673 7
197.635 205.732 7
735.304 204.667 1
282.255 205.683 2
566.007 206.279 13
236.042 205.806 6
273.247 206.501 29
44.6241 207.66 5
52.2367 207.676 1
86.9904 205.457 12
299.544 209.827 13
591.937 208.271 5
219.554 208.9 69
261.906 209.594 20
614.323 209.851 1
197.452 210.677 14
229.888 210.373 28
357.667 210.359 8
388.212 211.484 22
417.467 210.762 72
438.611 209.936 7
453.614 211.123 2
171.282 213.628 23
559.333 211.42 8
564.437 212.123 1
165.466 210.432 21
641.508 210.734 33
129.428 211.912 28
288.473 214.499 31
266.914 214.498 3
299.541 214.027 4
428.967 214.56 10
171.599 215.792 2
447.872 213.286 67
206.431 216.921 23
215.15 215.23 12
320.843 217.265 8
635.082 216.285 3
77.4613 215.567 33
92.3884 215.375 29
657.009 216.471 39
681.404 216.391 19
736.024 217.321 1
192.247 218.477 1
454.933 219.007 10
618.42 216.898 15
727.554 216.723 6
43.9236 220.114 17
251.356 217.564 10
274.061 218.763 39
282.781 218.356 17
352.32 222.379 29
716.562 216.455 4
266.249 218.443 3
307.805 217.09 33
384.801 219.176 11
705.894 218.999 13
182.447 217.346 27
61.8133 219.752 32
64.8811 220.95 3
73.9472 226.226 52
521.706 217.855 38
161.244 226.452 20
467.28 225.349 13
354.929 225.028 17
457.196 223.326 9
471.933 224.493 16
577.95 225.271 2
392.792 222.728 65
406.226 225.252 8
421.65 222.572 19
437.739 220.965 17
583.566 225.95 8
247.879 227.312 3
431.163 225.921 50
435.764 226.132 8
447.827 224.461 4
468.115 229.713 10
523.457 229.522 1
619.577 230.828 14
693.95 227.534 9
487.403 230.535 7
545.589 229.289 11
185.474 234.638 15
495.646 237.176 30
686.486 227.91 12
716.471 229.841 16
717.34 232.499 4
740.881 233.465 1
238.25 234.13 41
703.357 233.299 25
350.328 235.233 3
636.989 233.031 20
449.817 234.37 22
513.524 238.032 12
521.798 237.31 13
259.185 238.477 20
596.18 239.809 6
175.973 241.031 6
605.915 237.849 15
279.386 242.766 3
351.251 243.167 30
434.533 240.832 14
628.447 242.515 5
591.874 242.315 6
234.538 244.658 18
620.558 243.772 15
642.312 242.679 19
186.868 243.375 29
476.716 243.674 27
210.524 248.735 13
320.557 251.724 45
508.145 245.304 21
676.755 247.08 2
243.89 245.439 28
282.49 246.924 8
495.882 247.749 17
578.663 247.345 2
263.904 248.208 3
271.189 242.989 31
590.853 250.511 7
217.613 248.376 6
478.162 249.37 11
520.467 247.598 31
572.334 248.718 20
226.867 250.241 33
233.109 251.403 6
427.082 258.628 17
672.39 252.71 12
309.93 251.753 26
380.034 253.593 5
503.181 253.222 2
469.098 253.23 30
543.275 254.459 33
555.804 253.91 6
473.281 252.924 4
618.172 253.021 20
179.854 256.231 16
190.074 256.493 14
563.401 255.669 6
275.977 257.92 10
326.85 257.682 13
681.292 258.209 1
742.822 259.88 1
419.64 262.31 23
589.921 260.822 30
281.68 261.863 4
548.705 262.746 12
609.808 259.934 8
625.311 258.984 60
602.277 261.112 14
386.786 264.222 4
393.702 263.641 1
459.991 262.026 8
290.56 261.727 39
300.181 263.587 7
520.571 264.632 14
420.971 264.392 3
577.882 263.925 32
58.0938 269.221 3
587.167 268.718 31
336.485 270.09 13
727.016 269.147 8
330.455 268.636 6
495.616 268.879 13
569.952 270.944 56
29.3816 270.126 3
371.644 273.913 7
547.869 271.365 44
325.976 272.932 4
394.853 270.785 45
715.825 272.028 7
736.977 273.51 1
525.339 274.609 11
65.994 278.171 10
293.624 275.694 9
517.194 274.131 30
699.113 274.494 9
542.794 276.211 18
111.113 275.974 18
425.475 275.944 4
643.029 276.167 7
647.944 276.177 4
669.015 277.259 4
128.318 275.187 32
480.277 279.368 33
25.1428 279.735 3
386.662 280.123 9
447.829 278.587 40
597.12 272.782 37
375.983 281.994 13
441.402 280.353 1
570.124 280.673 12
585.809 282.319 11
562.597 283.474 3
635.905 283.187 2
502.643 284.163 22
667.318 285.47 7
9.94497 285.619 1
28.9283 283.684 10
340.35 281.481 18
543.528 285.815 1
482.452 287.05 9
455.728 288.066 11
492.66 287.875 10
593.529 287.822 48
738.289 287.543 1
465.598 288.416 12
474.714 288.175 10
295.651 287.806 19
442.293 289.922 2
447.911 289.604 4
734.81 290.862 2
316.375 290.335 12
540.918 290.01 27
634.905 291.502 4
264.137 290.832 35
283.985 294.397 3
568.258 289.74 49
688.387 292.133 3
641.662 296.554 22
675.904 292.013 10
515.224 293.42 8
561.662 295.318 26
591.477 295.895 25
431.16 298.58 38
476.171 298.83 16
726.774 294.788 4
620.94 298.495 15
642.255 297.057 2
603.286 296.411 11
334.368 297.583 9
452.932 300.38 21
503.586 294.185 48
543.233 300.969 16
96.2978 302.626 27
483.65 296.821 48
412.186 302.312 49
480.808 300.542 1
514.898 300.021 9
524.402 302.58 5
54.3765 301.944 4
577.627 304.52 9
