15144 27674
554.197 115.58 1
570.841 123.265 1
765.558 122.499 2
549.257 124.106 3
538.546 127.833 1
563.106 132.222 5
754.355 132.767 5
548.681 136.419 1
676.418 137.095 4
755.161 143.447 1
668.947 146.583 4
729.593 148.727 1
547.37 156.031 1
706.206 161.065 7
715 163.564 8
755.851 173.593 2
699.207 178.199 29
146.021 177.801 1
675.057 178.051 2
684.692 176.888 3
742.567 178.548 8
643.069 179.868 1
760.456 182.088 6
673.434 184.843 2
137.766 186.386 3
592.077 188.236 5
663.197 191.867 2
751.272 193.598 7
637.803 195.997 2
574.649 197.281 1
657.685 197.542 2
161.076 198.061 2
177.271 203.591 2
606.934 204.988 1
625.694 205.953 6
89.4203 206.822 5
598.456 205.602 2
712.169 207.268 6
135.582 208.226 2
140.763 208.064 1
793.322 208.784 2
17.8517 209.889 1
750.808 209.928 7
478.647 213.122 2
553.999 213.027 1
532.184 214.052 1
629.317 214.522 1
522.734 214.927 1
767.664 215.562 9
487.766 218.392 2
120.497 218.221 5
129.354 220.177 10
185.047 218.896 12
200.801 218.707 12
163.198 220.268 3
601.128 220.998 1
502.379 221.272 10
517.63 222.429 1
91.0042 222.621 3
476.025 223.056 3
173.548 223.595 3
412.623 225.017 1
20.531 226.365 1
532.467 226.369 2
784.937 225.829 2
159.292 227.4 4
79.4813 228.788 1
215.261 228.598 10
555.542 230.146 1
591.239 230.246 1
64.6408 231.436 2
671.085 231.87 1
198.69 233.325 6
692.721 232.594 3
9.55836 233.444 1
101.837 233.992 2
227.554 234.549 2
233.199 233.997 3
20.0046 234.782 1
426.791 236.726 1
474.019 237.27 1
658.656 240.221 2
22.8792 241.769 1
347.974 243.689 2
578.022 244.414 6
172.606 244.956 1
406.483 244.344 1
87.0541 245.639 2
239.906 245.937 3
421.026 245.055 3
437.259 246.815 2
60.3037 247.735 3
65.8801 247.315 19
475.618 248.996 4
100.106 249.463 1
26.7181 251.498 3
53.5233 250.027 5
345.4 251.641 6
652.535 251.512 4
154.387 252.879 2
249.583 253.306 1
619.579 252.678 1
634.719 252.844 20
45.7393 256.045 1
363.269 255.667 2
439.692 256.055 4
481.348 255.175 3
469.628 257.167 1
342.455 257.415 3
402.896 258.066 7
501.925 258.279 1
689.988 258.789 1
258.986 259.967 2
23.1152 260.992 1
448.443 262.442 1
512.763 261.667 1
630.19 262.101 4
367.436 263.827 4
95.5953 264.791 3
556.664 265.2 5
156.941 266.299 2
604.376 265.693 5
105.594 267.61 1
113.662 268.39 1
243.487 269.781 1
369.78 270.061 2
497.748 270.227 1
532.566 270.223 1
548.028 269.862 1
13.8498 270.839 2
37.7639 271.378 2
518.864 271.106 4
81.0299 272.278 1
338.84 271.194 5
398.84 270.911 6
150.494 272.595 1
619.003 273.316 2
69.4356 273.779 2
193.957 274.084 2
239.826 273.755 1
322.666 273.865 1
639.5 275.461 1
20.4806 276.156 1
273.916 274.611 11
382.902 275.733 3
234.408 278.045 1
581.232 277.837 8
711.74 278.854 4
553.648 279.642 1
224.256 281.082 1
319.085 281.397 1
489.913 280.582 3
734.909 281.245 1
351.04 282.251 2
184.619 282.522 7
244.944 283.669 4
283.628 283.116 3
397.666 284.454 1
630.069 283.889 2
595.644 285.055 1
202.476 285.744 1
149.344 287.206 1
208.436 286.81 1
634.657 286.054 3
194.314 287.482 1
261.862 287.789 3
584.875 288.495 7
708.606 288.697 1
376.955 289.165 1
468.537 289.061 5
596.417 290.111 1
792.889 290.442 3
313.357 289.778 9
501.462 291.327 2
296.23 292.393 1
398.453 292.246 2
521.562 292.42 1
167.323 292.454 4
180.291 293.195 1
304.221 292.78 1
554.302 292.893 1
188.028 293.611 9
620.041 294.46 3
728.858 295.088 3
631.157 294.561 1
18.3094 295.643 2
94.3227 297.24 1
469.595 296.353 3
206.949 297.723 1
256.827 297.699 1
558.317 298.21 1
565.808 297.676 3
104.648 298.221 1
150.701 298.631 1
371.375 300.424 3
465.82 301.244 1
506.504 300.916 1
105.712 301.966 1
483.648 301.754 3
729.459 302.339 2
546.853 302.995 2
137.219 303.611 1
272.294 303.494 7
332.06 303.752 2
308.537 304.122 5
398.794 305.207 4
30.3388 306.547 3
225.754 306.275 1
371.952 306.297 1
250.122 306.876 4
619.989 307.08 1
648.064 306.852 2
19.5356 307.888 1
220.719 307.734 1
492.52 307.756 2
281.801 308.698 3
159.033 309.623 3
410.63 309.605 2
543.346 309.103 4
230.311 310.886 4
270.296 310.683 2
553.429 310.586 3
585.599 310.445 1
104.077 311.928 1
187.766 311.592 4
483.162 311.613 2
137.57 312.669 1
242.774 312.927 4
578.84 312.967 5
599.107 313.529 2
728.993 312.49 7
41.0504 314.568 3
295.59 315.387 3
333.527 315.202 2
561.747 314.277 1
371.6 316.36 2
399.593 315.802 2
620.225 315.122 7
36.9688 317.099 1
548.514 317.229 1
130.235 318.029 1
423.305 319.013 4
717.993 317.852 6
599.081 319.793 9
432.934 321.497 3
747.589 321.818 1
562.519 323.017 1
239.784 323.68 2
442.381 324.362 1
499.879 323.948 1
85.6124 324.365 3
371.76 324.76 4
397.367 324.32 3
593.106 324.922 4
668.744 324.873 1
221.064 325.434 2
599.775 329.429 13
293.991 327.884 2
306.521 328.313 1
110.094 329.025 1
181.715 328.552 2
67.6708 331.039 1
135.633 330.655 1
213.85 330.778 9
300.778 331.082 1
372.543 331.334 1
648.969 330.956 5
99.2057 332.224 3
492.106 332.391 1
562.932 331.797 1
168.998 332.682 5
449.781 333.274 2
629.581 331.978 3
739.705 332.549 2
544.368 334.191 2
578.986 333.728 1
587.257 333.58 1
601.94 333.512 1
730.253 333.51 1
19.5237 335.084 1
408.91 335.135 1
189.874 336.144 3
213.877 335.837 1
681.038 338.631 1
563.604 339.153 1
72.5373 341.262 2
656.517 341.17 2
44.0901 342.71 1
116.097 343.211 4
210.91 342.213 4
500.203 343.485 1
784.661 342.794 1
94.0246 343.758 5
333.828 344.043 2
563.82 343.666 2
609.834 343.831 1
640.902 343.02 3
723.726 343.576 2
542.482 344.974 2
200.038 346.305 2
156.376 346.969 2
351.872 346.54 2
359.094 347.271 1
525.995 346.726 1
262.889 347.687 1
401.446 348.092 2
680.49 347.614 2
134.678 348.828 1
500.633 349.971 3
742.428 349.569 2
514.841 350.002 5
562.187 351.422 1
235.043 351.714 3
168.121 352.965 3
187.906 352.441 4
252.04 352.186 4
633.097 353.864 1
645.834 354.134 5
401.643 354.806 1
523.453 354.598 1
579.433 354.894 1
319.831 356.713 6
367.668 355.456 2
707.307 356.372 1
67.2658 356.282 8
776.093 357.482 1
