4307 11278
339.713 3.80314 1
72.5191 4.42085 1
158.049 4.9461 2
294.845 6.92994 1
31.7639 7.72156 1
72.6833 7.67199 1
348.305 8.51215 1
83.843 8.97967 3
316.355 8.68191 2
346.405 8.40618 3
298.209 9.37533 1
154.815 10.0455 1
159.008 10.2302 1
163.429 10.7004 6
329.458 10.9554 2
55.5763 11.4253 5
128.067 11.4266 5
166.815 12.0845 4
353.389 11.8761 1
22.5079 13.0844 4
34.327 13.4347 7
166.441 14.7696 2
306.181 14.3223 4
25.2877 15.6915 7
353.473 16.148 2
160.716 16.8755 1
10.0678 17.1274 2
306.659 18.3379 7
328.139 17.606 1
329.14 20.344 2
345.139 20.7899 6
305.865 21.0686 1
351.16 20.6449 3
353.51 20.7904 1
344.23 21.6413 2
304.969 23.3345 7
321.568 24.4503 10
231.137 25.4728 9
351.159 26.286 4
224.091 26.198 4
324.286 26.3899 1
239.865 26.9332 2
209.793 27.4462 11
29.2478 29.9452 1
324.478 29.9488 6
307.179 32.0227 6
323.464 34.7725 8
256.933 34.9391 5
148.666 35.1775 12
307.103 35.7024 13
264.009 38.1935 5
322.639 38.0642 12
341.445 38.8473 1
267.99 40.1236 13
308.172 40.183 4
318.903 40.392 3
271.358 41.6966 1
308.351 43.2295 3
277.674 44.63 4
282.023 46.55 8
218.532 47.446 9
285.664 48.0656 10
207.998 48.6139 5
193.742 48.5423 5
201.799 49.1148 2
213.226 49.6074 4
172.706 50.7411 5
214.646 52.2676 3
155.209 52.177 8
296.268 52.8232 2
190.852 53.5509 13
226.905 53.0825 3
212.377 54.5073 7
299.927 54.2583 5
182.842 54.7288 3
353.253 54.8933 1
123.216 54.8527 12
120.125 55.6081 2
303.827 56 6
111.552 55.6353 3
97.1433 56.9889 4
115.382 56.6068 15
200.896 57.4533 16
333.005 56.9937 4
131.855 56.4948 18
159.149 57.4553 15
83.0592 58.2233 5
89.5826 58.6362 4
147.686 59.3026 13
167.446 59.5436 2
155.496 59.0003 4
172.689 59.7899 10
103.73 59.3102 12
225.027 60.93 1
203.265 62.2888 2
113.559 62.8149 1
78.9125 63.3778 3
119.813 63.5245 9
2.73316 65.505 1
54.9121 66.5329 8
203.455 66.2359 2
215.3 65.7012 3
224.625 66.393 17
140.191 68.0122 5
331.065 67.9016 1
335.101 69.9015 7
54.6549 72.1803 16
95.3548 72.5604 5
139.298 72.3626 8
340.189 71.7144 9
79.3927 72.4417 5
164.884 72.5137 4
138.742 73.2697 1
227.342 73.2464 2
131.477 73.7293 1
148.428 73.8866 2
120.239 74.3105 1
209.2 74.0525 7
196.987 74.679 3
109.214 74.7228 8
188.916 75.662 3
180.883 76.0611 2
133.187 76.9145 4
170.472 76.5503 3
95.6719 77.6783 2
163.124 77.4832 2
153.981 78.2278 2
79.4421 78.5403 1
90.1733 78.6515 21
100.752 82.0679 4
93.5725 82.6161 1
84.542 83.1548 3
353.34 93.5968 2
56.4278 96.2083 1
243.286 97.5672 4
257.261 99.9166 4
262.343 100.493 3
176.977 102.01 15
156.622 102.05 20
186.615 102.934 26
277.812 103.179 8
187.755 102.063 12
353.42 105.178 2
304.755 107.591 5
56.2889 108.632 1
353.383 108.808 1
151.544 111.199 19
322.87 110.195 3
56.4827 111.192 2
134.043 111.932 1
334.08 111.738 4
340.71 111.629 8
353.411 112.418 1
142.525 115.191 2
147.164 116.662 23
142.25 117.539 7
132.436 118.594 5
157.399 117.284 11
174.185 118.987 9
162.779 119.71 12
169.672 119.43 9
172.231 119.326 9
152.915 121.305 2
149.846 121.065 6
146.015 122.805 11
142.108 122.791 26
158.1 124.232 3
179.109 124.54 5
121.757 125.958 8
159.881 124.869 7
148.075 126.764 13
353.424 127.776 2
154.243 128.196 2
126.654 128.469 11
132.629 129.781 18
130.832 131.404 1
10.9502 131.985 4
353.416 133.41 1
133.638 135.664 11
172.413 136.395 11
166.341 136.956 15
57.0358 137.953 1
185.381 137.015 18
13.405 138.35 1
169.493 139.968 3
145.344 139.883 5
174.371 140.714 1
186.195 141.018 4
57.1507 141.862 2
13.4815 143.326 5
134.656 143.641 5
130.365 145.392 3
122.085 147.226 2
353.327 150.381 1
57.6511 152.574 2
353.395 154.968 1
340.3 158.679 3
332.276 159.77 5
324.91 161.051 7
318.847 162.088 4
300.826 164.813 15
296.78 165.342 2
290.127 166.495 7
286.326 167.278 1
276.399 168.767 8
57.8903 168.831 5
50.4202 169.799 6
268.226 170.258 23
57.849 173.108 3
184.635 172.788 21
208.623 175.128 3
