4914 8972
440.984 35.9227 3
484.568 65.8653 1
484.606 71.0855 6
484.523 78.8519 1
484.485 83.4837 1
484.22 89.9376 3
459.035 91.9102 2
483.542 98.5598 9
483.852 101.297 2
153.73 105.584 1
483.544 114.528 3
454.899 118.913 7
482.525 123.891 11
482.582 133.751 14
482.229 157.477 15
338.168 173.607 4
335.894 182.194 9
482.709 184.324 6
175.127 191.044 1
482.068 193.675 7
361.573 198.815 5
238.047 221.414 6
183.158 223.006 3
302.63 223.04 2
345.019 223.688 1
262.691 223.868 1
287.979 224.87 1
220.714 235.12 1
478.82 244.103 5
478.425 251.482 4
354.475 252.56 4
395.827 254.446 2
197.998 268.024 9
420.123 274.165 22
474.378 289.52 26
165.564 291.133 11
475.613 294.687 1
209.103 301.551 21
474.108 306.136 7
474.18 312.694 1
386.784 315.05 4
472.425 322.177 11
397.829 330.237 4
471.267 341.339 10
424.234 359.608 1
181.096 362.33 8
470.588 364.439 1
279.504 365.664 2
236.469 366.604 1
175.807 367.507 1
426.692 367.6 10
278.903 374.244 1
433.039 374.527 2
197.236 373.887 9
210.256 378.994 7
433.012 380.575 1
216.384 381.215 10
429.101 381.256 8
222.186 384.105 1
241.542 391.038 2
264.724 399.11 3
269.925 401.576 1
306.44 413.721 7
322.719 419.745 1
344.783 427.144 3
349.253 428.971 1
381.85 439.683 2
394.077 443.884 8
467.35 445.918 3
403.273 447.265 1
411.253 450.034 1
416.71 451.787 1
420.606 452.872 1
467.106 452.759 4
447.912 454.768 2
426.587 454.768 4
433.844 457.628 5
449.177 462.486 6
467.006 464.254 1
457.095 465.425 1
466.287 468.214 4
562.463 3.85451 1
457.425 16.5097 1
425.162 23.3419 2
416.985 25.9861 5
409.68 27.0325 2
399.905 29.5542 3
388.733 31.5635 3
370.574 34.9355 1
429.983 43.0894 3
339.92 42.9352 3
327.476 45.6343 1
316.008 48.8887 5
120.09 52.405 16
296.967 52.3987 2
289.237 54.6595 5
137.412 61.7277 5
231.713 66.7287 5
477.042 66.9156 3
219.903 69.188 8
207.463 72.1265 8
191.468 76.0984 6
180.813 77.4925 3
209.541 77.9664 2
399.707 81.1467 3
212.887 81.5238 2
