17731 33525
458.618 65.1278 1
460.42 86.7106 6
415.712 100.192 6
478.657 99.69 2
412.599 100.97 1
419.949 101.759 2
442.372 103.698 5
477.587 104.863 1
467.161 106.025 6
442.127 111.247 3
468.638 112.617 1
500.653 113.33 10
447.916 116.499 3
469.989 119.019 3
406.715 119.989 1
439.921 121.116 14
459.597 123.791 17
406.774 126.071 2
448.312 125.608 5
485.009 133.016 4
500.013 137.506 2
507.545 138.397 1
586.721 138.185 1
60.9412 142.604 4
462.128 144.136 6
615.884 144.263 11
609.477 145.86 3
79.3473 146.73 2
602.611 146.461 6
492.925 147.955 4
574.35 147.47 3
211.862 149.11 1
440.024 148.788 1
624.89 149.248 8
401.553 150.812 2
482.415 153.679 1
367.922 154.469 3
396.575 154.658 2
476.883 154.739 1
94.18 154.804 8
321.372 155.102 3
329.059 155.112 4
355.87 154.412 9
70.028 154.848 17
207.668 157.625 1
471.887 156.551 3
58.6009 157.667 3
282.882 158.73 2
52.0237 160.277 1
275.345 159.733 1
268.436 160.822 1
421.754 160.199 10
457.981 159.16 12
417.864 161.553 1
599.249 163.26 2
579.059 164.42 4
51.3121 165.246 2
242.633 165.122 1
558.746 165.388 1
677.347 165.361 2
642.158 166.139 9
652.317 166.088 4
661.349 165.678 9
731.331 166.681 2
392.408 167.482 1
484.517 167.514 4
633.354 166.711 5
711.052 166.443 5
704.785 167.803 1
355.203 168.884 1
470.43 169.106 4
538.785 168.591 2
694.931 168.785 3
615.189 171.155 4
679.592 170.774 4
78.0627 174.318 1
50.3055 175.803 3
533.451 175.376 7
509.585 175.778 1
709.354 176.241 1
714.561 176.474 1
720.795 175.987 1
121.519 177.281 5
130.406 177.107 8
132.914 177.634 13
694.077 178.421 3
19.5805 178.927 4
27.639 179.051 6
583.361 179.255 1
11.9659 180.845 2
742.247 180.645 1
91.8725 181.473 6
192.797 180.879 5
308.695 181.521 2
186.825 182.256 1
468.812 182.561 16
479.989 181.867 3
602.772 182.767 1
336.902 183.55 2
421.858 183.559 2
685.693 183.152 1
694.717 182.851 1
228.124 184.489 3
50.5475 185.443 1
514.215 185.527 1
288.301 187.324 6
486.827 185.58 3
388.83 187.715 4
64.2843 189.591 2
250.632 189.305 7
448.293 189.336 1
678.346 189.481 2
719.138 189.195 2
203.735 190.887 2
306.198 190.64 2
324.438 190.593 1
620.579 190.712 1
308.321 191.671 2
531.988 191.323 2
181.423 192.559 1
314.761 192.052 8
436.288 191.423 6
442.284 192.532 3
374.548 194.334 1
511.605 194.414 5
361.224 194.791 1
560.58 194.95 10
603.59 194.89 2
295.628 195.98 3
486.746 195.864 7
542.298 195.266 5
201.592 196.749 1
284.641 197.486 6
575.223 196.829 4
704.235 196.797 2
63.2103 197.358 1
77.0638 197.372 4
473.848 197.217 3
719.629 197.239 1
181.891 197.184 9
499.652 198.539 2
695.607 198.565 2
369.539 199.901 1
737.657 199.661 1
110.748 200.525 1
421.562 200.568 6
660.567 199.873 13
673.588 199.915 2
286.704 201.081 3
432.526 201.383 3
642.781 200.859 1
651.936 201.146 2
82.5827 202.003 4
226.313 201.884 2
356.89 202.093 5
402.301 202.308 1
613.324 201.868 1
174.337 202.455 6
632.436 203.502 3
150.031 202.925 3
242.412 203.69 3
360.269 203.449 1
198.643 204.698 1
735.304 204.667 1
282.255 205.683 1
566.905 206.194 8
239.548 206.733 1
274.523 206.357 5
45.6241 207.273 1
52.2367 207.676 1
85.0723 207.629 1
302.719 209.617 1
593.592 208.902 1
219.129 209.795 22
263.126 210.441 3
614.323 209.851 1
197.949 210.491 9
228.896 210.716 2
357.689 210.393 5
391.625 211.477 6
418.483 210.117 15
438.611 209.936 5
453.614 211.123 1
171.282 213.628 9
559.333 211.42 3
564.437 212.123 1
164.903 212.017 3
641.396 212.076 12
129.77 212.654 11
288.111 213.865 5
266.914 214.498 3
299.572 214.067 3
431.254 214.957 2
171.599 215.792 2
448.523 216.039 4
209 216.528 2
215.104 215.921 5
322.068 217.218 1
635.082 216.285 1
77.68 217.664 4
93.0524 217.185 3
658.755 217.535 11
681.761 217.234 4
736.024 217.321 1
192.247 218.477 1
454.933 219.007 11
619.566 217.922 2
729.082 218.122 1
45.56 218.977 2
252.089 218.373 4
274.569 218.75 16
282.683 217.931 7
284.277 218.037 6
351.952 219.445 1
714.881 218.802 1
267.185 219.944 1
308.254 219.81 3
384.597 219.361 7
706.308 220.004 7
184.731 219.988 4
59.7852 220.826 6
65.1166 222.384 1
75.1399 223.217 4
523.527 222.004 4
156.853 224.685 1
467.473 224.173 3
354.929 225.028 13
456.303 224.183 4
471.933 224.493 8
577.95 225.271 1
391.041 225.734 12
406.226 225.252 7
417.136 226.624 2
442.833 226.514 2
583.566 225.95 7
247.879 227.312 2
430.105 226.677 15
435.348 226.905 2
448.56 226.871 1
469.289 229.757 6
523.457 229.522 1
622.3 230.275 4
694.476 230.186 3
487.403 230.535 5
