25878 47508
888.265 36.4112 1
221.616 64.4971 8
222.967 71.7889 1
852.101 75.3689 1
221.963 75.7466 2
224.238 81.5636 4
231.186 87.1062 7
219.433 89.4496 2
824.555 92.1917 1
220.161 93.8767 2
886.158 99.2257 1
616.765 101.828 3
271.647 103.391 1
625.248 103.795 3
174.331 108.471 1
635.81 109.872 12
768.323 109.053 5
871.487 109.485 1
222.05 110.682 3
271.198 110.753 1
812.89 111.173 1
820.404 111.215 1
240.707 112.308 2
826.927 112.22 8
834.469 112.701 5
730.85 112.983 1
737.472 113.156 2
861.348 112.371 4
192.523 114.433 3
697.816 114.4 1
706.851 114.58 2
573.553 116.287 2
177.006 117.403 2
202.451 120.902 1
231.724 123.053 2
597.734 122.832 1
704.116 124.488 1
277.697 125.65 5
190.177 125.705 6
609.557 126.052 10
639.525 126.45 2
202.036 128.352 3
654.591 127.884 4
160.598 128.327 3
688.499 129.941 1
268.247 133.305 1
294.124 132.943 3
301.261 133.315 2
188.358 134.606 4
278.59 133.817 2
181.525 137.571 1
227.051 137.395 2
201.281 139.748 8
157.549 140.796 3
270.131 142.704 1
304.428 142.577 2
157.682 146.576 1
356.851 146.321 1
544.668 147.232 1
225.696 149.175 4
317.193 149.096 3
330.978 152.308 3
160.933 152.394 3
549.033 153.392 2
569.627 153.733 3
350.227 154.827 1
358.048 153.69 7
249.895 154.508 3
341.109 155.014 2
327.713 157.366 1
266.679 157.396 12
275.528 160.065 10
353.637 159.808 4
366.624 162.309 1
545.579 162.963 5
312.823 163.602 3
557.308 164.593 3
166.12 166.443 1
224.518 166.177 3
385.557 168.053 6
543.034 168.869 3
379.375 168.674 11
575.983 169.553 4
200.685 171.22 1
346.279 171.351 2
309.334 171.636 11
561.012 172.287 5
571.866 173.196 1
281.96 173.883 6
403.266 173.385 14
541.837 174.356 2
118.929 174.766 6
127.892 173.913 5
153.479 175.744 1
225.807 175.245 1
247.629 175.072 3
48.9757 175.752 3
61.3263 175.317 5
71.9238 175.099 3
103.808 176.015 1
239.862 176.385 1
