4378 27674
553.309 111.46 41
569.591 119.008 30
765.558 122.499 2
549.257 124.106 5
539.327 125.082 22
560.846 132.623 15
753.969 133.267 15
548.481 135.059 4
675.773 136.721 6
750.387 141.427 21
668.947 146.583 4
728.666 144.432 18
545.807 156.694 7
709.821 158.88 39
715.142 163.414 12
755.851 173.593 2
698.511 177.692 39
143.053 177.429 6
674.845 180.012 16
685.461 173.536 10
742.223 178.692 16
643.069 179.868 1
760.366 182.275 16
671.804 185.064 24
137.354 184.615 10
592.131 186.49 24
663.727 187.699 37
751.27 193.122 11
635.908 200.449 17
574.649 197.281 1
657.431 196.656 3
161.076 198.061 2
173.111 200.383 74
606.934 204.988 1
625.479 207.416 23
89.2279 206.532 8
596.363 202.64 40
711.837 206.512 22
131.503 209.292 36
142.292 205.887 7
793.322 208.784 2
17.8517 209.889 1
750.248 209.828 15
476.838 213.361 7
552.901 213.586 8
532.184 214.052 2
627.983 212.94 4
519.759 212.159 16
767.664 215.562 11
484.857 216.975 23
121.988 214.699 51
128.749 219.501 22
183.99 218.384 26
197.817 216.216 83
160.169 220.824 32
597.49 217.324 25
504.818 220.225 37
517.377 217.727 27
91.0042 222.621 3
475.007 223.014 13
172.534 222.11 7
410.961 226.639 7
20.531 226.365 1
531.543 225.853 8
784.937 225.829 2
159.485 228.018 8
82.7239 223.209 41
218.6 225.915 45
555.367 232.056 9
591.239 230.246 3
64.591 229.23 16
669.287 231.804 7
199.094 233.312 15
693.708 232.22 17
9.55836 233.444 1
98.959 235.059 17
231.431 230.839 46
231.658 232.974 5
20.0046 234.782 2
426.791 236.726 2
472.919 236.755 16
658.656 240.221 2
22.8792 241.769 1
347.098 242.696 5
577.571 244.427 18
170.982 247.134 12
405.735 243.439 7
84.153 243.302 13
236.639 243.464 32
420.952 244.71 27
435.788 245.254 15
60.3037 247.735 4
65.8801 247.315 23
471.243 249.118 37
100.951 244.477 10
26.7181 251.498 4
53.3344 247.327 23
344.97 251.068 11
652.535 251.512 4
153.5 252.241 6
250.763 249.742 80
621.151 255.047 53
635.462 252.493 42
42.5556 253.094 13
360.098 255.466 16
439.692 256.055 4
484.351 250.872 28
466.153 255.315 30
339.287 260.798 31
402.152 257.13 24
500.689 258.951 3
687.851 257.286 4
257.074 258.473 16
22.3325 259.433 3
450.181 259.636 41
508.835 266.069 17
630.492 262.125 10
365.494 264.432 25
95.5953 264.791 3
556.155 262.133 19
154.613 263.389 27
598.732 260.65 48
105.594 267.61 1
113.662 268.39 1
236.232 269.733 77
369.78 270.061 1
497.424 269.041 7
531.446 269.585 9
545.425 269.598 24
13.8498 270.839 2
36.7867 269.273 22
515.879 269.401 67
79.3016 269.3 19
337.512 267.051 29
398.491 267.999 45
150.132 277.399 7
616.643 273.783 14
69.4356 273.779 3
191.234 271.876 13
239.826 273.755 1
321.18 270.301 18
637.822 273.759 11
20.4806 276.156 1
273.145 273.614 42
383.12 273.58 53
232.425 276.283 10
580.79 276.247 43
711.74 278.854 8
552.492 279.477 3
223.501 278.178 9
313.589 283.355 71
488.303 280.105 14
734.909 281.245 1
354.29 281.172 23
182.978 281.628 17
245.734 284.222 10
284.69 282.219 40
392.194 282.92 18
629.787 282.257 7
594.913 281.265 8
203.759 283.049 10
147.817 285.501 11
208.436 286.81 1
634.657 286.054 3
192.56 286.157 43
261.221 287.144 5
583.488 288.14 13
708.262 286.439 4
375.054 287.411 25
467.661 289.016 11
597.231 291.229 6
792.889 290.442 3
311.644 289.137 23
500.686 292.425 4
297.728 290.39 21
398.449 292.103 4
521.562 292.42 3
166.065 290.433 15
177.379 291.687 15
304.395 290.187 28
562.119 293.524 25
187.303 293.024 13
621.348 291.228 15
727.811 291.288 28
631.157 294.561 1
18.3094 295.643 2
90.9039 292.475 17
469.819 297.068 9
203.895 294.362 13
256.748 294.624 8
559.866 295.568 16
565.377 294.344 17
104.178 295.866 11
147.307 295.006 17
370.45 298.727 17
465.82 301.244 3
504.839 298.267 6
105.712 301.966 1
481.904 301.58 10
729.005 300.863 6
546.853 302.995 3
134.796 301.799 16
270.788 302.499 17
331.052 301.707 31
312.833 305.214 49
396.539 303.005 16
30.3388 306.547 5
224.568 303.022 22
371.952 306.297 1
251.23 306.948 40
619.595 308.428 3
645.684 306.121 22
19.5356 307.888 1
220.719 307.734 1
490.211 307.354 11
279.89 308.371 11
159.337 307.369 14
410.63 309.605 2
542.88 309.116 43
230.942 310.273 5
266.995 309.34 18
553.403 307.035 25
582.854 308.601 40
104.077 311.928 2
188.471 309.871 23
483.162 311.613 2
133.342 310.411 27
