2246 15152
426.243 7.34162 1
266.912 13.4137 5
155.483 16.1717 15
23.0166 14.8326 6
7.40044 15.0858 1
421.69 15.714 5
35.9954 16.1402 7
421.737 20.9159 17
403.575 22.1328 11
499.828 21.6558 1
386.45 23.1829 12
256.408 29.9128 21
155.375 33.1994 12
146.386 38.0143 21
144.156 40.3188 1
276.456 59.758 2
33.259 61.7081 5
278.465 65.7342 10
279.248 68.0975 2
279.518 76.8757 10
281.072 80.3286 28
276.877 85.1075 4
210.031 86.4592 29
226.553 85.0546 40
231.992 85.3981 15
167.927 87.0892 14
203.511 86.5846 27
154.679 88.401 17
162.6 88.634 20
273.84 91.842 75
247.937 91.226 22
270.723 96.0857 3
161.295 95.5835 99
209.517 95.205 54
245.293 100.588 46
184.674 104.491 52
155.032 103.886 41
247.134 106.039 31
172.286 106.526 36
197.899 109.102 14
224.274 112.811 31
267.014 113.059 16
200.323 113.772 30
374.036 117.685 17
199.725 119.087 1
184.675 115.005 37
192.802 120.445 14
263.473 119.375 28
401.703 118.84 22
251.421 122.244 14
162.46 128.855 7
185.11 124.504 7
298.653 124.146 24
398.461 125.11 9
401.729 132.259 10
401.04 135.142 1
210.217 143.732 34
360.953 135.815 34
294.159 139.25 38
33.2291 154.487 26
111.937 149.734 43
126.353 153.92 21
106.122 153.909 2
136.631 153.792 39
128.105 156.552 7
41.55 156.036 27
36.5008 159.336 9
138.756 164.845 39
196.578 164.923 39
139.215 165.453 10
281.483 165 47
138.314 167.553 2
217.231 167.229 2
391.286 173.499 55
273.825 177.327 41
392.811 176.033 8
118.58 179.863 39
117.012 182.666 3
143.469 175.674 44
112.526 186.186 8
258.941 191.31 64
258.113 192.765 1
384.199 192.142 39
131.59 195.815 2
388.745 192.419 31
97.4928 202.659 7
264.091 197.79 61
92.7132 206.117 9
169.543 206.199 6
91.4362 206.964 3
275.473 206.475 9
387.69 208.054 2
279.89 210.08 2
286.512 213.521 4
152.117 213.644 13
132.546 216.028 39
135.232 221.698 12
305.972 220.882 6
149.229 223.402 10
487.322 222.256 10
384.86 221.94 9
142.522 223.501 16
135.829 224.692 1
153.766 223.064 21
183.224 226.588 17
43.5661 227.435 32
32.8617 229.461 11
40.5616 229.507 2
137.336 229.949 1
151.334 230.228 4
333.98 233.904 4
138.047 233.826 2
32.1949 233.897 17
39.9389 241.177 8
139.293 242.27 15
54.9462 243.37 40
254.301 245.727 32
61.087 246.243 11
175.622 245.702 8
62.2009 249.441 10
169.965 249.197 6
141.572 249.107 13
9.89922 253.224 1
164.338 253.384 5
193.09 252.515 24
339.741 253.304 2
218.454 253.785 12
254.575 255.046 30
347.935 254.349 31
145.968 257.888 24
159.068 257.028 15
180.881 254.656 32
186.221 257.555 17
353.699 262.612 6
172.669 261.814 8
199.925 261.409 30
254.175 260.093 23
149.312 263.948 9
180.282 261.165 11
340.806 260.168 13
67.2845 262.021 23
169.422 262.807 9
221.676 262.864 5
212.88 259.466 41
175.696 264.594 15
162.912 264.665 8
364.612 264.807 25
170.439 268.377 18
63.9135 271.027 1
72.4735 269.631 19
231.176 270.954 32
252.873 273.919 2
370.344 272.105 9
161.534 273.178 69
153.735 277.329 10
184.981 275.271 53
343.257 275.816 22
182.743 282.283 46
168.648 277.702 39
207.668 278.822 1
184.87 282.961 4
175.095 285.342 26
248.398 281.119 32
80.844 286.258 16
343.224 286.47 28
238.169 286.417 16
194.5 285.233 24
69.7546 285.09 16
179.654 291.651 25
371.839 289.527 23
182.805 286.712 25
50.3824 292.946 26
351.99 289.075 12
83.0448 293.711 13
349.1 295.458 2
182.361 295.94 4
196.798 297.66 10
83.0456 300.973 9
372.434 301.72 1
84.9364 301.777 12
241.802 302.028 6
198.547 303.432 11
350.311 300.81 14
208.95 304.382 5
74.1609 307.715 4
315.04 308.528 7
343.455 307.465 3
318.208 311.277 1
188.858 312.439 1
221.115 312.555 1
342.355 312.58 2
382.439 312.589 1
203.43 313.059 1
352.139 313.454 1
196.686 313.484 1
216.775 315.488 1
190.333 316.364 2
359.497 316.393 1
212.197 318.111 1
341.909 318.648 1
192.822 320.605 1
215.946 320.286 1
471.291 4.38785 1
451.639 5.09824 1
456.854 5.31561 2
436.658 5.71209 2
354.651 7.68206 1
396.039 7.77852 1
401.254 7.40117 2
261.517 9.34331 1
320.682 9.65116 2
436.213 9.91906 1
278.062 10.9641 1
295.372 10.871 2
246.756 12.7712 1
265.919 12.9043 1
257.772 13.3766 1
