7387 47508
888.265 36.4112 1
220.616 64.1913 24
222.967 71.7889 3
852.101 75.3689 2
221.963 75.7466 4
223.028 80.8223 9
229.413 87.3076 31
219.604 91.5772 12
824.555 92.1917 1
220.161 93.8767 1
886.158 99.2257 1
615.239 101.606 13
269.52 103.676 10
626.171 104.244 10
171.916 111.244 28
636.104 109.814 25
766.763 106.938 27
871.487 109.485 2
220.542 110.402 14
270.143 109.944 8
809.578 110.047 9
820.404 111.215 1
240.264 115.871 21
826.927 112.22 8
834.36 112.503 8
730.85 112.983 1
737.472 113.156 3
860.771 112.673 8
192.523 114.433 6
697.816 114.4 1
707.67 113.709 5
574.246 115.031 5
176.19 118.302 5
200.607 116.166 17
230.554 121.359 8
594.135 120.554 28
704.116 124.488 1
277.207 126.376 9
188.556 127.846 23
608.108 125.628 19
640.705 126.346 5
200.361 128.307 19
654.591 127.884 4
158.476 128.018 14
687.518 129.283 7
265.61 129.493 33
292.279 130.556 21
301.316 131.281 11
186.962 135.29 12
275.456 134.751 44
182.84 139.081 5
227.051 137.395 4
199.631 138.874 21
157.549 140.796 12
272.115 141.767 37
302.726 144.222 20
155.222 145.671 10
356.851 146.321 2
542.917 145.085 4
225.754 148.49 7
316.241 147.013 30
331.179 152.405 6
161.531 151.297 7
546.54 154.31 14
565.638 156.064 16
352.505 154.735 14
354.843 155.536 28
249.879 153.546 7
339.559 153.142 13
325.591 157.7 11
266.903 157.5 43
275.628 159.232 18
352.298 159.253 9
365.563 160.369 4
542.907 163.112 20
311.117 162.809 20
556.86 166.822 11
166.494 165.1 5
223.475 166.042 21
383.317 165.229 45
542.275 170.856 14
379.375 168.674 10
574.428 172.379 31
200.685 171.22 1
347.58 167.684 33
309.334 171.636 14
560.898 171.893 25
571.755 179.586 6
281.257 172.818 14
405.002 171.627 49
539.697 174.572 13
117.357 174.421 14
129.411 174.856 19
151.446 174.415 13
223.799 175.964 33
244.82 172.01 49
51.0237 175.744 6
60.6242 174.946 20
75.4925 175.71 14
103.942 175.011 9
238.037 175.235 3
40.0354 176.771 5
579.419 177.101 4
207.589 179.852 10
236.089 178.31 3
266.293 177.157 36
386.595 178.917 48
220.747 178.278 21
178.543 182.404 21
213.295 180.441 8
537.553 184.673 13
806.08 183.02 11
198.872 184.719 4
546.58 185.842 4
373.185 186.798 18
686.924 187.499 15
696.479 187.642 21
712.7 187.483 7
801.256 187.125 25
352.105 187.909 36
565.285 189.098 23
648.22 188.837 38
659.312 188.464 23
668.673 188.698 21
601.47 189.738 27
604.462 189.403 8
613.548 190.15 15
632.473 188.29 6
639.588 188.415 5
38.7282 191.072 5
93.7871 191.323 2
105.228 190.952 4
589.138 190.526 28
814.556 186.9 36
19.9538 192.443 2
413.281 192.706 4
453.874 190.473 31
540.747 191.699 22
556.022 191.718 32
219.992 191.724 10
226.415 193.029 10
234.456 192.788 7
423.409 192.815 19
434.341 192.4 29
441.367 192.7 15
528.603 192.793 20
214.134 193.314 14
482.645 192.863 44
495.504 192.215 23
518.814 193.039 17
388.676 196.341 29
460.801 196.412 7
